"Site","Plant.number","observed_on","Plant.species","FlushPercent","Latitude","Longitude","agdd32","agdd50"
"Alva","Tree 1",2017-03-10,"Quercus virginiana",0.00803212851405622,26.7297,-81.6107,2346.93798828,1107.98950195
"Alva","Tree 1",2017-03-13,"Quercus virginiana",0.161490683229814,26.7297,-81.6107,2465.95410156,1173.00537109
"Alva","Tree 1",2017-03-16,"Quercus virginiana",0.20125786163522,26.7297,-81.6107,2553.90209961,1206.95336914
"Alva","Tree 1",2017-03-20,"Quercus virginiana",0.333333333333333,26.7297,-81.6107,2664.17895508,1245.23046875
"Alva","Tree 1",2017-03-24,"Quercus virginiana",0.455555555555556,26.7297,-81.6107,2802.96777344,1312.01953125
"Alva","Tree 1",2017-03-28,"Quercus virginiana",0.823008849557522,26.7297,-81.6107,2954.0324707,1391.08435059
"Alva","Tree 1",2017-04-01,"Quercus virginiana",0.975,26.7297,-81.6107,3116.59033203,1481.64233398
"Alva","Tree 1",2017-04-05,"Quercus virginiana",0.979381443298969,26.7297,-81.6107,3297.88623047,1590.93835449
"Alva","Tree 1",2017-04-08,"Quercus virginiana",0.96551724137931,26.7297,-81.6107,3409.44116211,1648.49328613
"Alva","Tree 1",2017-04-11,"Quercus virginiana",0.927927927927928,26.7297,-81.6107,3511.94213867,1696.9942627
"Alva","Tree 1",2017-04-14,"Quercus virginiana",0.95049504950495,26.7297,-81.6107,3622.32714844,1753.37927246
"Alva","Tree 1",2017-04-17,"Quercus virginiana",0.953703703703704,26.7297,-81.6107,3743.04418945,1820.09619141
"Alva","Tree 1",2017-04-19,"Quercus virginiana",0.973214285714286,26.7297,-81.6107,3825.51098633,1866.56323242
"Alva","Tree 1",2017-04-22,"Quercus virginiana",0.92741935483871,26.7297,-81.6107,3949.7199707,1936.7722168
"Alva","Tree 2",2017-03-10,"Quercus virginiana",0.166666666666667,26.7297,-81.6107,2346.93798828,1107.98950195
"Alva","Tree 2",2017-03-13,"Quercus virginiana",0.370967741935484,26.7297,-81.6107,2465.95410156,1173.00537109
"Alva","Tree 2",2017-03-16,"Quercus virginiana",0.392307692307692,26.7297,-81.6107,2553.90209961,1206.95336914
"Alva","Tree 2",2017-03-20,"Quercus virginiana",0.77027027027027,26.7297,-81.6107,2664.17895508,1245.23046875
"Alva","Tree 2",2017-03-24,"Quercus virginiana",0.682692307692308,26.7297,-81.6107,2802.96777344,1312.01953125
"Alva","Tree 2",2017-03-28,"Quercus virginiana",0.854545454545454,26.7297,-81.6107,2954.0324707,1391.08435059
"Alva","Tree 2",2017-04-01,"Quercus virginiana",0.808333333333333,26.7297,-81.6107,3116.59033203,1481.64233398
"Alva","Tree 2",2017-04-05,"Quercus virginiana",0.954545454545455,26.7297,-81.6107,3297.88623047,1590.93835449
"Alva","Tree 2",2017-04-08,"Quercus virginiana",0.950980392156863,26.7297,-81.6107,3409.44116211,1648.49328613
"Alva","Tree 2",2017-04-11,"Quercus virginiana",0.950980392156863,26.7297,-81.6107,3511.94213867,1696.9942627
"Alva","Tree 2",2017-04-14,"Quercus virginiana",0.961904761904762,26.7297,-81.6107,3622.32714844,1753.37927246
"Alva","Tree 2",2017-04-17,"Quercus virginiana",0.931034482758621,26.7297,-81.6107,3743.04418945,1820.09619141
"Alva","Tree 2",2017-04-19,"Quercus virginiana",0.965753424657534,26.7297,-81.6107,3825.51098633,1866.56323242
"Alva","Tree 2",2017-04-22,"Quercus virginiana",0.898550724637681,26.7297,-81.6107,3949.7199707,1936.7722168
"Alva","Tree 3",2017-03-10,"Quercus virginiana",0.213333333333333,26.7297,-81.6107,2346.93798828,1107.98950195
"Alva","Tree 3",2017-03-13,"Quercus virginiana",0.375,26.7297,-81.6107,2465.95410156,1173.00537109
"Alva","Tree 3",2017-03-16,"Quercus virginiana",0.452830188679245,26.7297,-81.6107,2553.90209961,1206.95336914
"Alva","Tree 3",2017-03-20,"Quercus virginiana",0.711864406779661,26.7297,-81.6107,2664.17895508,1245.23046875
"Alva","Tree 3",2017-03-24,"Quercus virginiana",0.636363636363636,26.7297,-81.6107,2802.96777344,1312.01953125
"Alva","Tree 3",2017-03-28,"Quercus virginiana",0.660550458715596,26.7297,-81.6107,2954.0324707,1391.08435059
"Alva","Tree 3",2017-04-01,"Quercus virginiana",0.926605504587156,26.7297,-81.6107,3116.59033203,1481.64233398
"Alva","Tree 3",2017-04-05,"Quercus virginiana",0.931372549019608,26.7297,-81.6107,3297.88623047,1590.93835449
"Alva","Tree 3",2017-04-08,"Quercus virginiana",0.939393939393939,26.7297,-81.6107,3409.44116211,1648.49328613
"Alva","Tree 3",2017-04-11,"Quercus virginiana",0.956896551724138,26.7297,-81.6107,3511.94213867,1696.9942627
"Alva","Tree 3",2017-04-14,"Quercus virginiana",0.925925925925926,26.7297,-81.6107,3622.32714844,1753.37927246
"Alva","Tree 3",2017-04-17,"Quercus virginiana",0.947826086956522,26.7297,-81.6107,3743.04418945,1820.09619141
"Alva","Tree 3",2017-04-19,"Quercus virginiana",0.959677419354839,26.7297,-81.6107,3825.51098633,1866.56323242
"Alva","Tree 3",2017-04-22,"Quercus virginiana",0.909090909090909,26.7297,-81.6107,3949.7199707,1936.7722168
"Alva","Tree 1",2017-03-10,"Quercus geminata",0.371134020618557,26.7297,-81.6107,2346.93798828,1107.98950195
"Alva","Tree 1",2017-03-13,"Quercus geminata",0.374149659863946,26.7297,-81.6107,2465.95410156,1173.00537109
"Alva","Tree 1",2017-03-16,"Quercus geminata",0.605042016806723,26.7297,-81.6107,2553.90209961,1206.95336914
"Alva","Tree 1",2017-03-20,"Quercus geminata",0.701388888888889,26.7297,-81.6107,2664.17895508,1245.23046875
"Alva","Tree 1",2017-03-24,"Quercus geminata",0.71875,26.7297,-81.6107,2802.96777344,1312.01953125
"Alva","Tree 1",2017-03-28,"Quercus geminata",0.826530612244898,26.7297,-81.6107,2954.0324707,1391.08435059
"Alva","Tree 1",2017-04-01,"Quercus geminata",0.806201550387597,26.7297,-81.6107,3116.59033203,1481.64233398
"Alva","Tree 1",2017-04-05,"Quercus geminata",0.953703703703704,26.7297,-81.6107,3297.88623047,1590.93835449
"Alva","Tree 1",2017-04-08,"Quercus geminata",0.972477064220184,26.7297,-81.6107,3409.44116211,1648.49328613
"Alva","Tree 1",2017-04-11,"Quercus geminata",0.925,26.7297,-81.6107,3511.94213867,1696.9942627
"Alva","Tree 1",2017-04-14,"Quercus geminata",0.859259259259259,26.7297,-81.6107,3622.32714844,1753.37927246
"Alva","Tree 1",2017-04-17,"Quercus geminata",0.974137931034483,26.7297,-81.6107,3743.04418945,1820.09619141
"Alva","Tree 1",2017-04-19,"Quercus geminata",0.961165048543689,26.7297,-81.6107,3825.51098633,1866.56323242
"Alva","Tree 1",2017-04-22,"Quercus geminata",0.9296875,26.7297,-81.6107,3949.7199707,1936.7722168
"Alva","Tree 2",2017-03-10,"Quercus geminata",0.276315789473684,26.7297,-81.6107,2346.93798828,1107.98950195
"Alva","Tree 2",2017-03-13,"Quercus geminata",0.571428571428571,26.7297,-81.6107,2465.95410156,1173.00537109
"Alva","Tree 2",2017-03-16,"Quercus geminata",0.613445378151261,26.7297,-81.6107,2553.90209961,1206.95336914
"Alva","Tree 2",2017-03-20,"Quercus geminata",0.692771084337349,26.7297,-81.6107,2664.17895508,1245.23046875
"Alva","Tree 2",2017-03-24,"Quercus geminata",0.706422018348624,26.7297,-81.6107,2802.96777344,1312.01953125
"Alva","Tree 2",2017-03-28,"Quercus geminata",0.725274725274725,26.7297,-81.6107,2954.0324707,1391.08435059
"Alva","Tree 2",2017-04-01,"Quercus geminata",0.856,26.7297,-81.6107,3116.59033203,1481.64233398
