Plant.species,observed_on,State,County,Latitude,Longitude,Flowers
Quercus geminata,10/22/1967,Alabama,Mobil,,,Y
Quercus geminata,9/16/2001,Florida,Alachua,29.658,-82.3018,N
Quercus geminata,4/12/2011,Florida,Alachua,29.658,-82.3018,Y
Quercus geminata,3/26/1992,Florida,Clay,29.9944,-81.7787,N
Quercus geminata,10/14/1992,Florida,Columbia,30.1813,-82.6051,N
Quercus geminata,8/11/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,10/13/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,8/11/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,10/20/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,8/11/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,8/11/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,10/5/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,10/6/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,10/18/2005,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,3/21/1992,Florida,Escambia,30.6389,-87.3424,N
Quercus geminata,3/24/1992,Florida,Gulf,29.8002,-85.355,N
Quercus geminata,6/9/1992,Florida,Highlands,27.34,-81.34,N
Quercus geminata,4/15/1986,Florida,Highlands,27.34,-81.34,Y
Quercus geminata,7/27/2000,Florida,Jefferson,,,N
Quercus geminata,3/26/2004,Florida,Levy,29.12275,-83.08728,Y
Quercus geminata,4/21/1988,Florida,Levy,,,Y
Quercus geminata,9/17/2000,Florida,Liberty,,,N
Quercus geminata,4/1/1994,Florida,Liberty,,,N
Quercus geminata,5/20/1976,Florida,Liberty,,,Y
Quercus geminata,10/28/1988,Florida,Marion,,,N
Quercus geminata,10/28/1988,Florida,Marion,,,N
Quercus geminata,5/13/2007,Florida,Marion,,,N
Quercus geminata,9/23/1990,Florida,Marion,,,N
Quercus geminata,3/27/1992,Florida,Marion,,,N
Quercus geminata,4/11/2006,Florida,Marion,29.216267,-82.03325,Y
Quercus geminata,4/1/1991,Florida,Marion,,,Y
Quercus geminata,3/22/1992,Florida,Okaloosa,,,N
Quercus geminata,4/25/2005,Florida,Okaloosa,,,Y
Quercus geminata,3/24/1992,Florida,Okeechobee,,,Y
Quercus geminata,4/8/1986,Florida,Osceola,,,Y
Quercus geminata,11/21/2008,Florida,Pasco,,,N
Quercus geminata,6/17/2005,Florida,Polk,,,N
Quercus geminata,6/25/2005,Florida,Polk,,,N
Quercus geminata,7/31/1992,Florida,Polk,,,N
Quercus geminata,3/29/1992,Florida,Polk,,,Y
Quercus geminata,11/15/2013,Florida,Putnam,,,N
Quercus geminata,6/5/2015,Florida,Putnam,,,N
Quercus geminata,6/5/2015,Florida,Putnam,,,N
Quercus geminata,11/8/2013,Florida,Putnam ,,,N
Quercus geminata,5/4/1996,Florida,Santa Rosa,,,N
Quercus geminata,8/11/2005,Florida,Santa Rosa,,,N
Quercus geminata,4/26/2005,Florida,Santa Rosa,,,Y
Quercus geminata,4/26/2005,Florida,Santa Rosa,,,Y
Quercus geminata,6/30/2003,Florida,St. Lucie,27.3226,-80.5438,N
Quercus geminata,8/14/2006,Florida,Suwannee,30.342444,-82.801583,N
Quercus geminata,3/14/1974,Florida,Volusia,29.028,-81.0755,N
Quercus geminata,3/19/1968,Florida,Walton,30.564,-86.1752,N
Quercus geminata,5/18/1976,Georgia,Emanuel,32.5727,-82.3018,Y
Quercus geminata,6/13/1988,Georgia,Tift,31.4206,-83.5497,N
Quercus geminata,5/12/2005,Mississippi,Harrison,30.4321,-89.0179,N
Quercus geminata,6/6/2006,Mississippi,Harrison,30.4321,-89.0179,N
Quercus geminata,4/25/2006,Mississippi,Jackson,30.4278,-88.5565,N
Quercus geminata,10/24/2005,Mississippi,Jackson,30.4278,-88.5565,N
Quercus geminata,9/18/1982,Florida,Bay,30.30515356,-85.62553127,N
Quercus geminata,9/18/1982,Florida,Bay,30.30515356,-85.62553127,N
Quercus geminata,1/6/1985,Florida,Calhoun,30.4058856,-85.19735859,N
Quercus geminata,7/18/1958,Florida,Citrus,28.8525453,-82.45989628,N
Quercus geminata,12/3/1955,Florida,Citrus,28.8525453,-82.45989628,N
Quercus geminata,9/17/1985,Florida,Clay,29.967534,-81.981141,N
Quercus geminata,9/25/1986,Florida,Dixie,29.61097348,-83.1576994,N
Quercus geminata,10/5/1986,Florida,Dixie,29.61097348,-83.1576994,N
Quercus geminata,9/25/1986,Florida,Dixie,29.61097348,-83.1576994,N
Quercus geminata,9/25/1986,Florida,Dixie,29.61097348,-83.1576994,N
Quercus geminata,7/10/2008,Florida,Duval,30.1253086,-81.5648771,Y
Quercus geminata,5/30/1988,Florida,Escambia,30.70677215,-87.38025962,N
Quercus geminata,5/24/1971,Florida,Franklin,29.89014672,-84.79966536,Y
Quercus geminata,3/25/1982,Florida,Franklin,29.89014672,-84.79966536,Y
Quercus geminata,4/11/1985,Florida,Franklin,29.89014672,-84.79966536,Y
Quercus geminata,3/29/1982,Florida,Franklin,29.89014672,-84.79966536,Y
Quercus geminata,11/19/1984,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,11/12/1971,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,9/6/1982,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,10/30/1982,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,7/17/1982,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,2/14/1984,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,2/14/1984,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,9/26/1975,Florida,Franklin,29.89014672,-84.79966536,N
Quercus geminata,7/9/2015,Florida,Gulf,29.72148,-85.38758,N
Quercus geminata,12/8/2011,Florida,Jackson,30.58973,-85.2787,N
Quercus geminata,4/1/1990,Florida,Leon,30.45845973,-84.27766976,Y
Quercus geminata,4/21/1993,Florida,Leon,30.45845973,-84.27766976,Y
Quercus geminata,11/17/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,11/17/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,11/17/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,11/17/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/28/1986,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/28/1986,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/14/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/14/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/14/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/14/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/14/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,9/23/1990,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,8/14/1984,Florida,Leon,30.45845973,-84.27766976,N
Quercus geminata,5/16/1996,Florida,Leon,30.52917037,-84.28576632,N
Quercus geminata,5/17/1983,Florida,Liberty,30.24113757,-84.88308346,N
Quercus geminata,10/17/1988,Florida,Liberty,30.24113757,-84.88308346,N
Quercus geminata,12/19/1982,Florida,Liberty,30.24113757,-84.88308346,N
Quercus geminata,8/28/2017,Florida,Manatee,27.47108056,-82.29541475,N
Quercus geminata,5/13/1980,Florida,Marion,29.27672228,-81.70054717,Y
Quercus geminata,9/9/1975,Florida,Okaloosa,30.58605909,-86.53521019,N
Quercus geminata,6/1/1980,Florida,Polk,27.94876075,-81.69766746,N
