"id","observed_on","url","latitude","longitude","place_country_name","scientific_name","field.gall.phenophase","agdd"
15183652,"2018-06-15","https://www.inaturalist.org/observations/15183652",40.7260894796,-77.8867960721,"United States","Amphibolips nubilipennis","developing",2090.69873047
16388460,"2018-06-15","https://www.inaturalist.org/observations/16388460",43.8390083333,-71.1788116667,"United States","Amphibolips nubilipennis","developing",1669.92211914
21640770,"2016-06-06","https://www.inaturalist.org/observations/21640770",40.731056,-77.883239,"United States","Amphibolips nubilipennis","developing",2014.24353027
23539839,"2019-04-27","https://www.inaturalist.org/observations/23539839",35.2621385994,-80.7194397971,"United States","Amphibolips nubilipennis","developing",2094.19995117
25673091,"2019-05-24","https://www.inaturalist.org/observations/25673091",36.9116260117,-75.9986639375,"United States","Amphibolips nubilipennis","developing",2962.68115234
26558954,"2019-06-07","https://www.inaturalist.org/observations/26558954",41.0868611667,-76.184525,"United States","Amphibolips nubilipennis","developing",2111.73168945
26607329,"2019-06-08","https://www.inaturalist.org/observations/26607329",41.3059432246,-73.557066992,"United States","Amphibolips nubilipennis","developing",1857.07702637
27023632,"2019-06-15","https://www.inaturalist.org/observations/27023632",42.3031545406,-73.9517171632,"United States","Amphibolips nubilipennis","developing",2027.43786621
27173407,"2019-06-17","https://www.inaturalist.org/observations/27173407",42.3795832739,-76.5093546956,"United States","Amphibolips nubilipennis","developing",1838.22180176
27224840,"2019-06-18","https://www.inaturalist.org/observations/27224840",42.5299365772,-85.3002594319,"United States","Amphibolips nubilipennis","developing",1878.51538086
27328080,"2019-06-20","https://www.inaturalist.org/observations/27328080",40.7985091349,-77.866750164,"United States","Amphibolips nubilipennis","developing",2409.93701172
27590160,"2019-06-24","https://www.inaturalist.org/observations/27590160",41.312000113,-73.5666218459,"United States","Amphibolips nubilipennis","perimature",2387.11328125
30494160,"2019-05-30","https://www.inaturalist.org/observations/30494160",39.63627,-76.4143833333,"United States","Amphibolips nubilipennis","developing",2171.32080078
48781288,"2020-06-03","https://www.inaturalist.org/observations/48781288",39.1456311165,-77.1519064295,"United States","Amphibolips nubilipennis","developing",2523.43676758
49466960,"2020-06-13","https://www.inaturalist.org/observations/49466960",44.5356086577,-93.869635114,"United States","Amphibolips nubilipennis","developing",1819.01635742
49525276,"2020-06-13","https://www.inaturalist.org/observations/49525276",42.4475270956,-71.0869348983,"United States","Amphibolips nubilipennis","developing",2110.19311523
49885329,"2020-06-16","https://www.inaturalist.org/observations/49885329",40.800007484,-77.8604994436,"United States","Amphibolips nubilipennis","developing",2302.42358398
50116835,"2020-06-18","https://www.inaturalist.org/observations/50116835",42.447625,-71.08681383,"United States","Amphibolips nubilipennis","developing",2264.20117188
50329944,"2020-06-18","https://www.inaturalist.org/observations/50329944",44.56491167,-69.65008667,"United States","Amphibolips nubilipennis","developing",1686.74279785
51101573,"2020-06-27","https://www.inaturalist.org/observations/51101573",39.00127778,-76.82219667,"United States","Amphibolips nubilipennis","perimature",3669.18994141
54779636,"2020-06-26","https://www.inaturalist.org/observations/54779636",40.605775,-74.959386,"United States","Amphibolips nubilipennis","developing",2931.37963867
58340346,"2018-05-28","https://www.inaturalist.org/observations/58340346",33.7408879214,-86.5128502179,"United States","Amphibolips nubilipennis","developing",3281.75805664
75324300,"2021-04-26","https://www.inaturalist.org/observations/75324300",34.0762463898,-81.1757300185,"United States","Amphibolips nubilipennis","developing",2351.09570312
77887690,"2021-05-08","https://www.inaturalist.org/observations/77887690",39.5993871093,-75.1673559844,"United States","Amphibolips nubilipennis","developing",1513.53759766
79049424,"2021-05-16","https://www.inaturalist.org/observations/79049424",38.8596202164,-77.4947382866,"United States","Amphibolips nubilipennis","developing",1865.69042969
79075488,"2021-05-16","https://www.inaturalist.org/observations/79075488",39.1361483333,-84.516915,"United States","Amphibolips nubilipennis","developing",1632.12158203
79540751,"2021-05-20","https://www.inaturalist.org/observations/79540751",36.1098626214,-79.9925026853,"United States","Amphibolips nubilipennis","developing",2416.74121094
79540753,"2021-05-20","https://www.inaturalist.org/observations/79540753",36.109931963,-79.9926314313,"United States","Amphibolips nubilipennis","developing",2416.74121094
79540756,"2021-05-20","https://www.inaturalist.org/observations/79540756",36.1099839692,-79.9924812276,"United States","Amphibolips nubilipennis","perimature",2416.74121094
79540757,"2021-05-20","https://www.inaturalist.org/observations/79540757",36.1099666338,-79.99245977,"United States","Amphibolips nubilipennis","perimature",2416.74121094
80301554,"2021-05-25","https://www.inaturalist.org/observations/80301554",41.1429278333,-82.236205,"United States","Amphibolips nubilipennis","developing",1606.37329102
80385056,"2021-05-26","https://www.inaturalist.org/observations/80385056",40.6987916667,-81.9794383333,"United States","Amphibolips nubilipennis","developing",1678.12939453
80767939,"2021-05-28","https://www.inaturalist.org/observations/80767939",42.44085,-71.0749805,"United States","Amphibolips nubilipennis","developing",1681.86486816
81098606,"2021-05-31","https://www.inaturalist.org/observations/81098606",39.30701,-84.6928466667,"United States","Amphibolips nubilipennis","developing",2048.37231445
81385187,"2021-06-02","https://www.inaturalist.org/observations/81385187",40.60022,-79.9995333333,"United States","Amphibolips nubilipennis","developing",1847.69897461
81426906,"2021-06-02","https://www.inaturalist.org/observations/81426906",39.4101366667,-76.8415616667,"United States","Amphibolips nubilipennis","developing",2256.61376953
81653659,"2021-06-03","https://www.inaturalist.org/observations/81653659",42.507675,-71.32723,"United States","Amphibolips nubilipennis","developing",1729.57397461
81754902,"2021-06-05","https://www.inaturalist.org/observations/81754902",42.4476466667,-71.0868138333,"United States","Amphibolips nubilipennis","developing",1865.24890137
81764684,"2021-06-05","https://www.inaturalist.org/observations/81764684",41.9347220767,-86.5728134552,"United States","Amphibolips nubilipennis","developing",1645.94604492
81846953,"2021-06-05","https://www.inaturalist.org/observations/81846953",42.447625,-71.0867778333,"United States","Amphibolips nubilipennis","developing",1865.24890137
81947221,"2021-06-06","https://www.inaturalist.org/observations/81947221",40.734045,-82.772545,"United States","Amphibolips nubilipennis","developing",1998.6652832
81947392,"2021-06-06","https://www.inaturalist.org/observations/81947392",40.73558,-82.772805,"United States","Amphibolips nubilipennis","developing",1998.6652832
82185512,"2021-06-07","https://www.inaturalist.org/observations/82185512",38.8261554209,-77.3345843974,"United States","Amphibolips nubilipennis","developing",2691.93554688
82220614,"2021-06-08","https://www.inaturalist.org/observations/82220614",40.8033523558,-77.9176406858,"United States","Amphibolips nubilipennis","senescent",1920.0949707
82361775,"2021-05-27","https://www.inaturalist.org/observations/82361775",41.1054602778,-74.0736025,"United States","Amphibolips nubilipennis","developing",1720.09692383
82380213,"2021-06-09","https://www.inaturalist.org/observations/82380213",43.6169372591,-84.1805692552,"United States","Amphibolips nubilipennis","developing",1835.4317627
82405757,"2021-06-06","https://www.inaturalist.org/observations/82405757",43.0291295574,-77.0614989975,"United States","Amphibolips nubilipennis","developing",1801.37597656
82417443,"2021-06-10","https://www.inaturalist.org/observations/82417443",38.5217991192,-77.0333663654,"United States","Amphibolips nubilipennis","developing",2862.16064453
