"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","Host_Plant_ID","agdd","adj","doy","phenogen"
5865395,"2017-04-14","Andricus quercuspetiolicola","32.77475","-97.0936888889","https://www.inaturalist.org/observations/5865395","Gall","","bisexual","developing","",2768.28173828,2369.72983389218,104,"developing_"
5981515,"2017-04-27","Andricus quercuspetiolicola","35.8160297899","-78.7264902704","https://www.inaturalist.org/observations/5981515","Gall","","bisexual","developing","",2430.99731445,2320.81633474456,117,"developing_"
12076289,"2018-04-29","Andricus quercuspetiolicola","35.8171","-78.7264","https://www.inaturalist.org/observations/12076289","Gall","","bisexual","developing","",1967.92077637,1857.80202144353,119,"developing_"
13066814,"2018-05-31","Andricus quercuspetiolicola","35.9799995422","-78.994720459","https://www.inaturalist.org/observations/13066814","Gall","","bisexual","developing","",3179.75292969,3078.83493978117,151,"developing_"
13695733,"2018-06-22","Andricus quercuspetiolicola","43.6705783333","-70.308425","https://www.inaturalist.org/observations/13695733","Gall","","bisexual","developing","54779",2028.32861328,2034.46450435117,173,"developing_"
22783994,"2019-04-20","Andricus quercuspetiolicola","32.5194327208","-92.6710024943","https://www.inaturalist.org/observations/22783994","Gall","","bisexual","developing","",2231.87280273,1797.29998020934,110,"developing_"
23145060,"2019-04-26","Andricus quercuspetiolicola","38.9302462245","-77.1138147323","https://www.inaturalist.org/observations/23145060","Gall","","bisexual","developing","",1460.52783203,1450.34600326831,116,"developing_"
23443861,"2019-04-27","Andricus quercuspetiolicola","38.92852","-76.9997866667","https://www.inaturalist.org/observations/23443861","Gall","","bisexual","developing","54779",1444.29187012,1434.08950873166,117,"developing_"
24022492,"2019-04-28","Andricus quercuspetiolicola","40.499860311","-74.2475758373","https://www.inaturalist.org/observations/24022492","Gall","","bisexual","developing","",1126.16027832,1125.56002684468,118,"developing_"
24130403,"2019-04-29","Andricus quercuspetiolicola","38.9504405407","-77.0071352577","https://www.inaturalist.org/observations/24130403","Gall","","bisexual","developing","128686",1477.30407715,1467.36040756787,119,"developing_"
24364151,"2019-04-26","Andricus quercuspetiolicola","35.9482680649","-78.8198301413","https://www.inaturalist.org/observations/24364151","Gall","","bisexual","developing","54779",2004.03833008,1901.36994883523,116,"developing_"
24661508,"2019-05-06","Andricus quercuspetiolicola","38.61571676","-90.27624399","https://www.inaturalist.org/observations/24661508","Gall","","bisexual","developing","54780",1554.15478516,1539.7580183759,126,"developing_"
24710333,"2019-05-04","Andricus quercuspetiolicola","38.9357681274","-76.5059432983","https://www.inaturalist.org/observations/24710333","Gall","","bisexual","developing","",1593.63806152,1583.52172815054,124,"developing_"
24969229,"2019-05-11","Andricus quercuspetiolicola","40.791274379","-73.9248085768","https://www.inaturalist.org/observations/24969229","Gall","","bisexual","developing","54780",1435.02185059,1434.80825826173,131,"developing_"
24969448,"2019-05-11","Andricus quercuspetiolicola","40.7903789403","-73.9253932145","https://www.inaturalist.org/observations/24969448","Gall","","bisexual","developing","54780",1435.02185059,1434.80744764937,131,"developing_"
25001058,"2019-04-27","Andricus quercuspetiolicola","39.0016777778","-76.822525","https://www.inaturalist.org/observations/25001058","Gall","","bisexual","developing","54779",1385.59411621,1376.23797854586,117,"developing_"
25007227,"2019-05-11","Andricus quercuspetiolicola","40.7911055556","-73.9247916667","https://www.inaturalist.org/observations/25007227","Gall","","bisexual","developing","",1435.02185059,1434.80810558781,131,"developing_"
25007992,"2019-05-11","Andricus quercuspetiolicola","40.7905166667","-73.9251277778","https://www.inaturalist.org/observations/25007992","Gall","","bisexual","developing","",1435.02185059,1434.80757246196,131,"developing_"
25176495,"2019-05-15","Andricus quercuspetiolicola","32.58730618","-86.54412004","https://www.inaturalist.org/observations/25176495","Gall","","bisexual","developing","371998",3446.34130859,3021.54746654308,135,"developing_"
25328323,"2019-05-18","Andricus quercuspetiolicola","40.730556488","-77.882774353","https://www.inaturalist.org/observations/25328323","Gall","","bisexual","developing","128686",1354.57080078,1354.29747444601,138,"developing_"
25329543,"2019-05-18","Andricus quercuspetiolicola","40.730556488","-77.882774353","https://www.inaturalist.org/observations/25329543","Gall","","bisexual","developing","",1354.57080078,1354.29747444601,138,"developing_"
25378355,"2019-05-18","Andricus quercuspetiolicola","40.7910990715","-73.9247331396","https://www.inaturalist.org/observations/25378355","Gall","","bisexual","developing","54780",1598.60571289,1598.39196202252,138,"developing_"
25580067,"2019-05-22","Andricus quercuspetiolicola","41.6686978936","-91.5418367529","https://www.inaturalist.org/observations/25580067","Gall","","bisexual","developing","54779",1228.37329102,1228.37617160192,142,"developing_"
25890715,"2019-05-27","Andricus quercuspetiolicola","42.3126388889","-76.5041083333","https://www.inaturalist.org/observations/25890715","Gall","","bisexual","developing","",1164.01403809,1164.33602932916,147,"developing_"
25901496,"2019-05-27","Andricus quercuspetiolicola","40.7905463269","-73.9255894349","https://www.inaturalist.org/observations/25901496","Gall","","bisexual","developing","54780",1921.98474121,1921.77048995475,147,"developing_"
26259121,"2019-06-01","Andricus quercuspetiolicola","42.5032119751","-71.3520355225","https://www.inaturalist.org/observations/26259121","Gall","","bisexual","developing","54779",1494.88098145,1495.48678159527,152,"developing_"
26347700,"2019-06-03","Andricus quercuspetiolicola","43.5172578","-92.00937164","https://www.inaturalist.org/observations/26347700","Gall","","bisexual","developing","",1190.51000977,1195.43534120793,154,"developing_"
26632452,"2019-06-08","Andricus quercuspetiolicola","41.9122238159","-69.9755554199","https://www.inaturalist.org/observations/26632452","Gall","","bisexual","developing","54779",1675.44763184,1675.48966097849,159,"developing_"
27522006,"2019-06-22","Andricus quercuspetiolicola","41.7889783333","-70.627005","https://www.inaturalist.org/observations/27522006","Gall","","bisexual","developing","54779",2192.86621094,2192.88069022432,173,"developing_"
27640556,"2019-06-25","Andricus quercuspetiolicola","40.7839133333","-81.9177166667","https://www.inaturalist.org/observations/27640556","Gall","","bisexual","perimature","",2653.37841797,2653.15810096835,176,"perimature_"
27753871,"2019-06-27","Andricus quercuspetiolicola","40.8004174009","-77.8674538248","https://www.inaturalist.org/observations/27753871","Gall","","bisexual","perimature","54780",2666.45507812,2666.24964604812,178,"perimature_"
28557090,"2019-07-10","Andricus quercuspetiolicola","40.7976880018","-77.8703190108","https://www.inaturalist.org/observations/28557090","Gall","","bisexual","developing","",3189.39135742,3189.18351149505,191,"developing_"
28610168,"2019-07-11","Andricus quercuspetiolicola","40.8052137774","-77.8638712317","https://www.inaturalist.org/observations/28610168","Gall","","bisexual","developing","",3262.05688477,3261.85564915553,192,"developing_"
28616982,"2019-07-11","Andricus quercuspetiolicola","40.0000944445","-83.0102527833","https://www.inaturalist.org/observations/28616982","Gall","","bisexual","developing","",3784.80395508,3782.77933755614,192,"developing_"
28667439,"2019-07-06","Andricus quercuspetiolicola","42.4313895618","-71.2927834625","https://www.inaturalist.org/observations/28667439","Gall","","bisexual","developing","54779",2761.27001953,2761.75480026151,187,"developing_"
28667441,"2019-07-06","Andricus quercuspetiolicola","42.4313895618","-71.2927834625","https://www.inaturalist.org/observations/28667441","Gall","","bisexual","perimature","54779",2761.27001953,2761.75480026151,187,"perimature_"
28758785,"2019-07-13","Andricus quercuspetiolicola","40.82885","-81.9421216667","https://www.inaturalist.org/observations/28758785","Gall","","bisexual","perimature","",3363.16259766,3362.98120904115,194,"perimature_"
29504838,"2019-07-25","Andricus quercuspetiolicola","40.8089894476","-77.8627384175","https://www.inaturalist.org/observations/29504838","Gall","","bisexual","perimature","oaks",3857.56860352,3857.37063082783,206,"perimature_"
29915613,"2019-07-31","Andricus quercuspetiolicola","40.8146448434","-77.854078319","https://www.inaturalist.org/observations/29915613","Gall","","bisexual","perimature","oaks",4107.10351562,4106.91036402241,212,"perimature_"
29917471,"2019-07-31","Andricus quercuspetiolicola","40.8087169519","-77.8587310296","https://www.inaturalist.org/observations/29917471","Gall","","bisexual","developing","oaks",4111.30517578,4111.10696878758,212,"developing_"
30222208,"2019-08-04","Andricus quercuspetiolicola","41.9745444444","-87.7287916667","https://www.inaturalist.org/observations/30222208","Gall","","bisexual","perimature","",3974.7668457,3974.83096398986,216,"perimature_"
30369648,"2019-05-27","Andricus quercuspetiolicola","42.500761","-71.626971","https://www.inaturalist.org/observations/30369648","Gall","","bisexual","developing","",1339.54125977,1340.14263061268,147,"developing_"
41563115,"2020-04-06","Andricus quercuspetiolicola","35.149761","-89.983352","https://www.inaturalist.org/observations/41563115","Gall","","bisexual","developing","54779",1695.34729004,1541.7012176476,97,"developing_"
41854269,"2020-04-10","Andricus quercuspetiolicola","33.8477890355","-84.2832679933","https://www.inaturalist.org/observations/41854269","Gall","","bisexual","developing","54779",2024.53942871,1755.68818228483,101,"developing_"
42185273,"2020-04-14","Andricus quercuspetiolicola","37.5584150886","-77.6491367587","https://www.inaturalist.org/observations/42185273","Gall","","bisexual","developing","54779",1675.73608398,1638.99398940781,105,"developing_"
42267065,"2020-04-15","Andricus quercuspetiolicola","35.94093667","-79.05138333","https://www.inaturalist.org/observations/42267065","Gall","","bisexual","developing","",2019.00488281,1915.92922494505,106,"developing_"
42788941,"2020-04-21","Andricus quercuspetiolicola","37.3200981886","-77.9636662515","https://www.inaturalist.org/observations/42788941","Gall","","bisexual","developing","",1742.07470703,1698.25701582035,112,"developing_"
43074482,"2020-04-24","Andricus quercuspetiolicola","35.9283756","-78.9660233997","https://www.inaturalist.org/observations/43074482","Gall","","bisexual","developing","54779",2239.35180664,2135.57585005646,115,"developing_"
