"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","Host_Plant_ID","agdd","phenogen"
11673885,"2018-04-28","Andricus quercusutriculus","35.8961625","-78.5773626","https://www.inaturalist.org/observations/11673885","Gall","","bisexual","developing","54779",1899.9621582,"Sexgen Developing"
24871013,"2019-05-07","Andricus quercusutriculus","32.69189","-97.1920183333","https://www.inaturalist.org/observations/24871013","Gall","","bisexual","senescent","",2810.78833008,"Sexgen Senescent"
48194373,"2020-06-01","Andricus quercusutriculus","33.8196188545","-84.3032552989","https://www.inaturalist.org/observations/48194373","Gall","","bisexual","senescent","54779",3690.68237305,"Sexgen Senescent"
53657268,"2020-07-19","Andricus quercusutriculus","40.8745994567","-77.6974868772","https://www.inaturalist.org/observations/53657268","Gall","","bisexual","senescent","54779",3415.64282227,"Sexgen Senescent"
61524386,"2020-10-02","Andricus quercusutriculus","38.8575499188","-77.3288116534","https://www.inaturalist.org/observations/61524386","Gall","","bisexual","senescent","54779",7895.09277344,"Sexgen Senescent"
61628311,"2020-10-03","Andricus quercusutriculus","38.857466374","-77.3278889733","https://www.inaturalist.org/observations/61628311","Gall","","bisexual","senescent","54779",7916.94482422,"Sexgen Senescent"
61628312,"2020-10-03","Andricus quercusutriculus","38.857466374","-77.3278889733","https://www.inaturalist.org/observations/61628312","Gall","","bisexual","senescent","54779",7916.94482422,"Sexgen Senescent"
61628315,"2020-10-03","Andricus quercusutriculus","38.857466374","-77.3278889733","https://www.inaturalist.org/observations/61628315","Gall","","bisexual","senescent","54779",7916.94482422,"Sexgen Senescent"
71624186,"2021-03-20","Andricus quercusutriculus","40.1010555","-83.72992","https://www.inaturalist.org/observations/71624186","Gall","","bisexual","senescent","119269",237.932769775,"Sexgen Senescent"
73985689,"2021-04-14","Andricus quercusutriculus","38.8578256185","-77.3284200525","https://www.inaturalist.org/observations/73985689","Gall","","bisexual","developing","54779",1050.22717285,"Sexgen Developing"
73985707,"2021-04-14","Andricus quercusutriculus","38.8578256185","-77.3284200525","https://www.inaturalist.org/observations/73985707","Gall","","bisexual","developing","54779",1050.22717285,"Sexgen Developing"
73985708,"2021-04-14","Andricus quercusutriculus","38.8578256185","-77.3284200525","https://www.inaturalist.org/observations/73985708","Gall","","bisexual","developing","54779",1050.22717285,"Sexgen Developing"
73985709,"2021-04-14","Andricus quercusutriculus","38.8578256185","-77.3284200525","https://www.inaturalist.org/observations/73985709","Gall","","bisexual","developing","54779",1050.22717285,"Sexgen Developing"
74597691,"2021-04-19","Andricus quercusutriculus","38.8580929689","-77.3282644845","https://www.inaturalist.org/observations/74597691","Gall","","bisexual","developing","54779",1153.01611328,"Sexgen Developing"
74597707,"2021-04-19","Andricus quercusutriculus","38.8580929689","-77.3282644845","https://www.inaturalist.org/observations/74597707","Gall","","bisexual","developing","54779",1153.01611328,"Sexgen Developing"
74597709,"2021-04-19","Andricus quercusutriculus","38.8580929689","-77.3282644845","https://www.inaturalist.org/observations/74597709","Gall","","bisexual","developing","54779",1153.01611328,"Sexgen Developing"
74855079,"2021-04-22","Andricus quercusutriculus","38.9799096826","-77.0253268605","https://www.inaturalist.org/observations/74855079","Gall","","bisexual","developing","54779",1254.77929688,"Sexgen Developing"
74961361,"2021-04-23","Andricus quercusutriculus","38.8581974019","-77.3283664064","https://www.inaturalist.org/observations/74961361","Gall","","bisexual","developing","54779",1232.94506836,"Sexgen Developing"
74961362,"2021-04-23","Andricus quercusutriculus","38.8581974019","-77.3283664064","https://www.inaturalist.org/observations/74961362","Gall","","bisexual","developing","54779",1232.94506836,"Sexgen Developing"
