"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","agdd","phenogen"
35178026,"2019-11-01","Belonocnema fossoria","27.1828408","-81.3520801","https://www.inaturalist.org/observations/35178026","Organism; Gall","Adult","unisexual","maturing",13206.4140625,"unisexual_maturing_Adult"
35779500,"2019-11-16","Belonocnema fossoria","28.533239477","-80.8024585247","https://www.inaturalist.org/observations/35779500","Gall","","unisexual","perimature",13838.4169922,"unisexual_perimature_"
40023630,"2020-03-15","Belonocnema fossoria","27.1834240848","-81.3363552838","https://www.inaturalist.org/observations/40023630","Organism; Gall","Adult","bisexual","maturing",2521.91625977,"bisexual_maturing_Adult"
41302430,"2020-03-22","Belonocnema fossoria","27.1838465495","-81.3513470575","https://www.inaturalist.org/observations/41302430","Gall","","unisexual","senescent",2825.16162109,"unisexual_senescent_"
92578837,"2021-08-25","Belonocnema fossoria","29.5619233333","-82.6359283333","https://www.inaturalist.org/observations/92578837","Gall","","unisexual","developing",9098.16015625,"unisexual_developing_"
93644645,"2021-09-04","Belonocnema fossoria","28.70882208","-81.41965027","https://www.inaturalist.org/observations/93644645","Gall","","unisexual","perimature",10316.1650391,"unisexual_perimature_"
96276872,"2021-09-26","Belonocnema fossoria","30.5665229144","-81.5225199983","https://www.inaturalist.org/observations/96276872","Gall","","unisexual","perimature",10571.4384766,"unisexual_perimature_"
97167654,"2021-10-02","Belonocnema fossoria","30.7185495416","-81.4420000319","https://www.inaturalist.org/observations/97167654","Gall","","unisexual","developing",10639.7177734,"unisexual_developing_"
100172405,"2021-10-30","Belonocnema fossoria","28.6229986","-81.0629172","https://www.inaturalist.org/observations/100172405","Organism; Gall","Adult","unisexual","maturing",12814.8984375,"unisexual_maturing_Adult"
102676840,"2021-09-18","Belonocnema fossoria","28.385875","-80.7633833333","https://www.inaturalist.org/observations/102676840","Gall","","unisexual","developing",11173.9199219,"unisexual_developing_"
103363457,"2021-12-18","Belonocnema fossoria","28.62185","-81.0620416667","https://www.inaturalist.org/observations/103363457","Gall","","unisexual","perimature",14471.953125,"unisexual_perimature_"
104724440,"2022-01-08","Belonocnema fossoria","30.3860866667","-86.4497","https://www.inaturalist.org/observations/104724440","Gall","","unisexual","senescent",190.817932129,"unisexual_senescent_"
104808528,"2022-01-08","Belonocnema fossoria","30.3863216667","-86.4516833333","https://www.inaturalist.org/observations/104808528","Gall","","unisexual","senescent",190.619918823,"unisexual_senescent_"
107482166,"2022-02-26","Belonocnema fossoria","27.6516061183","-80.8937967104","https://www.inaturalist.org/observations/107482166","Gall","","unisexual","senescent",1718.77429199,"unisexual_senescent_"
107558656,"2022-02-26","Belonocnema fossoria","28.615085","-81.0553866667","https://www.inaturalist.org/observations/107558656","Gall","","unisexual","senescent",1607.21948242,"unisexual_senescent_"
