"Obs.ID","Obs.Date","Sub.Date","Update.Date","User","Taxon.ID","Taxon.Name","Taxon.Common.Name","Grade","Latitude","Longitude","Accuracy..m.","Place.Description","Life.Stage","Evidence.of.Presence","Gall.Generation","Gall.Phenophase","observed_on","agdd","phenogen"
117417226,"2022-05-12T14:36:33-05:00","2022-05-17T01:29:22-05:00","2022-05-17T12:15:54-05:00","neon_the_iguana",1195335,"Belonocnema kinseyi",NA,"research",29.782805,-98.709795,12,"Boerne City Park, Boerne, TX, US",2,"24","bisexual","","2022-05-12",3240.7722168,"Sexgen Adult"
117396617,"2022-05-08T21:46:00-05:00","2022-05-16T20:56:31-05:00","2022-05-17T13:46:32-05:00","tfandre",1195335,"Belonocnema kinseyi",NA,"research",32.912624,-96.6388833,14844,"Garland, TX, USA",2,"24","bisexual","","2022-05-08",2825.55786133,"Sexgen Adult"
117394462,"2022-05-07T22:16:00-05:00","2022-05-16T20:36:35-05:00","2022-05-17T13:46:40-05:00","tfandre",1195335,"Belonocnema kinseyi",NA,"research",32.912624,-96.6388833,14844,"Garland, TX, USA",2,"24","bisexual","","2022-05-07",2781.39477539,"Sexgen Adult"
117010543,"2022-05-14T10:03:00-05:00","2022-05-14T13:18:36-05:00","2022-05-14T13:23:57-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"needs_id",30.271410457,-97.7143175582,4,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","developing","2022-05-14",3719.49951172,"Agamic Developing"
117010529,"2022-05-14T09:33:00-05:00","2022-05-14T13:18:33-05:00","2022-05-20T18:26:03-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"needs_id",30.2728027716,-97.7138923587,2,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","oviscar","2022-05-14",3719.49951172,"Agamic Oviscar"
117001641,"2022-05-14T12:20:18-05:00","2022-05-14T12:26:07-05:00","2022-05-15T23:18:15-05:00","birdingtexan",1195335,"Belonocnema kinseyi",NA,"needs_id",29.2464110478,-97.8255555453,4,"Texas, US",NA,"29","unisexual","developing","2022-05-14",3756.58105469,"Agamic Developing"
117000116,"2022-05-14T12:10:43-05:00","2022-05-14T12:16:23-05:00","2022-05-16T19:19:13-05:00","birdingtexan",1195335,"Belonocnema kinseyi",NA,"research",29.378479671,-97.933788286,4,"Texas, US",2,"24","bisexual","","2022-05-14",3749.07495117,"Sexgen Adult"
116656128,"2022-05-11T21:57:31-05:00","2022-05-12T00:13:37-05:00","2022-05-14T19:15:13-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.7170707994,-97.2428342124,NA,"Texas, US",2,"24","bisexual","","2022-05-11",3191.44360352,"Sexgen Adult"
116354824,"2022-05-09T18:41:22-05:00","2022-05-09T19:17:23-05:00","2022-05-10T21:58:45-05:00","birdingtexan",1195335,"Belonocnema kinseyi",NA,"research",29.3827897056,-97.8274162985,4,"Texas, US",2,"24","bisexual","","2022-05-09",3498.95556641,"Sexgen Adult"
115677573,"2022-05-02T22:35:00-05:00","2022-05-05T22:42:54-05:00","2022-05-06T19:15:47-05:00","lovebirder",1195335,"Belonocnema kinseyi",NA,"research",31.6338372117,-98.2483995998,499,"Private FM2005, Hamilton, TX, USA",2,"24","bisexual","","2022-05-02",2724.21826172,"Sexgen Adult"
115636600,"2022-05-05T13:02:58-05:00","2022-05-05T17:00:19-05:00","2022-05-20T18:24:00-05:00","antliongod",1195335,"Belonocnema kinseyi",NA,"research",30.0671526311,-98.0116193375,22,"Lame Hoss Ln, Driftwood, TX, US",NA,"29","bisexual","perimature","2022-05-05",3142.86132812,"Sexgen Perimature"
115443809,"2022-05-04T12:04:00-05:00","2022-05-04T15:46:02-05:00","2022-05-20T18:23:48-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.2709005816,-97.7145367587,4,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","developing","2022-05-04",3234.31005859,"Agamic Developing"
115443808,"2022-05-04T12:03:00-05:00","2022-05-04T15:46:02-05:00","2022-05-20T18:25:59-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"needs_id",30.2709005816,-97.7145367587,4,"Rosewood, Austin, TX 78702, USA",NA,"29","unisexual","oviscar","2022-05-04",3234.31005859,"Agamic Oviscar"
115043690,"2022-04-29T00:09:00-05:00","2022-05-02T23:50:30-05:00","2022-05-13T10:23:30-05:00","galactic_bug_man",1195335,"Belonocnema kinseyi",NA,"research",32.6913234599,-97.2415526664,1,"Texas, US",2,"24","bisexual","","2022-04-29",2681.57568359,"Sexgen Adult"
114809198,"2022-05-02T13:55:51-05:00","2022-05-02T13:59:00-05:00","2022-05-13T10:23:23-05:00","sleepymama",1195335,"Belonocnema kinseyi",NA,"research",30.0979566092,-97.8499833938,11,"Texas, US",2,"24","bisexual","","2022-05-02",3010.30053711,"Sexgen Adult"
114569286,"2022-04-29T20:12:00-05:00","2022-05-02T00:19:55-05:00","2022-05-02T22:24:47-05:00","tfandre",1195335,"Belonocnema kinseyi",NA,"research",32.9367141081,-96.7029465412,184,"Texas, US",2,"24","bisexual","","2022-04-29",2569.89526367,"Sexgen Adult"
114109926,"2022-04-30T21:20:08-05:00","2022-05-01T00:15:25-05:00","2022-05-01T11:36:29-05:00","scopic",1195335,"Belonocnema kinseyi",NA,"research",32.7789377919,-97.3747037146,NA,"Texas, US",2,"24","bisexual","","2022-04-30",2744.19799805,"Sexgen Adult"
113629326,"2022-04-05T15:26:00-05:00","2022-04-29T19:58:21-05:00","2022-04-30T00:19:46-05:00","threeagoutdoors",1195335,"Belonocnema kinseyi",NA,"research",32.4268728363,-99.7743031439,NA,"River Oaks/Brookhollow, Abilene, TX 79605, USA",2,"24","bisexual","","2022-04-05",1669.4810791,"Sexgen Adult"
113537890,"2022-04-29T09:18:00-05:00","2022-04-29T15:10:31-05:00","2022-05-20T18:12:12-05:00","megachile",1195335,"Belonocnema kinseyi",NA,"research",30.4218643433,-97.8530139602,4,"The Parke, Austin, TX 78726, USA",NA,"29","unisexual","oviscar","2022-04-29",2912.19116211,"Agamic Oviscar"
