"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","Host_Plant_ID","agdd","phenogen"
7488322,"2017-08-13","Disholcaspis quercusmamma","44.2005004883","-89.8434677124","https://www.inaturalist.org/observations/7488322","Gall","","unisexual","developing","54781",4079.58154297,"unisexual_developing_"
7683194,"2017-08-26","Disholcaspis quercusmamma","40.1097528647","-83.41922367","https://www.inaturalist.org/observations/7683194","Gall","","unisexual","developing","",5689.07861328,"unisexual_developing_"
7724744,"2017-08-27","Disholcaspis quercusmamma","41.3102739","-81.394878","https://www.inaturalist.org/observations/7724744","Gall","","unisexual","developing","54780",5415.00195312,"unisexual_developing_"
7867597,"2017-08-29","Disholcaspis quercusmamma","40.6533922517","-74.5481586456","https://www.inaturalist.org/observations/7867597","Gall","","unisexual","developing","",5663.55371094,"unisexual_developing_"
7939983,"2017-09-15","Disholcaspis quercusmamma","32.953142425","-96.4698748112","https://www.inaturalist.org/observations/7939983","Gall","","unisexual","developing","54781",9675.44921875,"unisexual_developing_"
8864438,"2017-11-19","Disholcaspis quercusmamma","41.979443268","-87.7418962587","https://www.inaturalist.org/observations/8864438","Gall","","unisexual","perimature","",7451.55517578,"unisexual_perimature_"
14847750,"2018-07-27","Disholcaspis quercusmamma","43.1478766064","-90.0597025708","https://www.inaturalist.org/observations/14847750","Gall","","unisexual","developing","54780",3581.22460938,"unisexual_developing_"
15763782,"2018-08-21","Disholcaspis quercusmamma","39.8689033333","-82.7369616667","https://www.inaturalist.org/observations/15763782","Gall","","unisexual","developing","",5487.10888672,"unisexual_developing_"
15874693,"2018-08-25","Disholcaspis quercusmamma","44.98552","-93.18197","https://www.inaturalist.org/observations/15874693","Gall","","unisexual","developing","",4800.8046875,"unisexual_developing_"
15874722,"2018-08-25","Disholcaspis quercusmamma","44.9862783333","-93.1821366667","https://www.inaturalist.org/observations/15874722","Gall","","unisexual","developing","",4765.57177734,"unisexual_developing_"
15972141,"2018-08-28","Disholcaspis quercusmamma","41.67117524","-91.54078871","https://www.inaturalist.org/observations/15972141","Gall","","unisexual","developing","",5473.18652344,"unisexual_developing_"
16145793,"2018-09-02","Disholcaspis quercusmamma","42.2476244","-84.7429935","https://www.inaturalist.org/observations/16145793","Gall","","unisexual","developing","54781",5059.52929688,"unisexual_developing_"
