TREECODE,TREESP,SITENUM,SITE,YEAR,TREENUM,NLEAVES,LEAFMASS,NGALLS,GALLMASS,NAME,STEM,LEAF
482,lobata,12,SIERRA F,2001,44,52,5.074,0,0,Besbicus conspicuus,1,0
340,lobata,10,TOWER HS,2000,55,63,9.978,0,0,Besbicus conspicuus,1,0
29,lobata,1,HNHR,2001,57,32,7.443,0,0,Besbicus conspicuus,1,0
132,lobata,1,HNHR,2002,241,31,4.16,0,0,Besbicus conspicuus,1,0
31,lobata,1,HNHR,2000,61,23,4.178,0,0,Besbicus conspicuus,1,0
25,lobata,1,HNHR,2001,52,29,4.861,0,0,Besbicus conspicuus,1,0
98,lobata,1,HNHR,2002,191,33,4.464,0,0,Besbicus conspicuus,1,0
370,lobata,11,DYE CRK,2001,28,68,10.353,0,0,Besbicus conspicuus,1,0
373,lobata,11,DYE CRK,2001,31,46,4.732,0,0,Besbicus conspicuus,1,0
335,lobata,10,TOWER HS,2001,10,25,4.522,0,0,Besbicus conspicuus,1,0
468,lobata,8,LIEBRE M,2003,44,82,4.522,0,0,Besbicus conspicuus,1,0
286,lobata,4,SEDGWICK,2003,50,43,7.707,0,0,Besbicus conspicuus,1,0
379,lobata,11,DYE CRK,2003,37,33,6.69,0,0,Besbicus conspicuus,1,0
34,lobata,1,HNHR,2003,66,55,5.647,0,0,Besbicus conspicuus,1,0
19,lobata,1,HNHR,2001,45,39,6.924,0,0,Besbicus conspicuus,1,0
192,lobata,2,JASPER R,2002,74,22,2.453,0,0,Besbicus conspicuus,1,0
26,lobata,1,HNHR,2002,53,42,9.66,0,0,Besbicus conspicuus,1,0
28,lobata,1,HNHR,2002,56,29,6.786,0,0,Besbicus conspicuus,1,0
198,lobata,2,JASPER R,2003,82,45,6.631,0,0,Besbicus conspicuus,1,0
484,lobata,12,SIERRA F,2001,46,17,5.824,0,0,Besbicus conspicuus,1,0
438,lobata,9,HOPLAND,2003,70,111,9.8,0,0,Besbicus conspicuus,1,0
29,lobata,1,HNHR,2003,57,33,7.915,0,0,Besbicus conspicuus,1,0
186,lobata,2,JASPER R,2002,68,63,4.356,0,0,Besbicus conspicuus,1,0
97,lobata,1,HNHR,2003,189,53,4.305,0,0,Besbicus conspicuus,1,0
471,lobata,8,LIEBRE M,2001,47,56,6.687,0,0,Besbicus conspicuus,1,0
339,lobata,10,TOWER HS,2002,54,37,9.539,0,0,Besbicus conspicuus,1,0
199,lobata,2,JASPER R,2003,83,88,12.132,0,0,Besbicus conspicuus,1,0
88,lobata,1,HNHR,2002,174,40,6.67,0,0,Besbicus conspicuus,1,0
285,lobata,4,SEDGWICK,2000,49,30,3.768,0,0,Besbicus conspicuus,1,0
135,lobata,1,HNHR,2003,245,46,5.543,0,0,Besbicus conspicuus,1,0
64,lobata,1,HNHR,2003,140,62,6.725,0,0,Besbicus conspicuus,1,0
341,lobata,10,TOWER HS,2001,56,32,4.497,0,0,Besbicus conspicuus,1,0
435,lobata,9,HOPLAND,2003,67,72,9.517,0,0,Besbicus conspicuus,1,0
105,lobata,1,HNHR,2003,201,81,7.778,0,0,Besbicus conspicuus,1,0
32,lobata,1,HNHR,2000,62,72,6.972,0,0,Besbicus conspicuus,1,0
178,lobata,2,JASPER R,2000,59,28,12.034,1,0.441,Besbicus conspicuus,1,0
26,lobata,1,HNHR,2000,53,22,5.693,0,0,Besbicus conspicuus,1,0
101,lobata,1,HNHR,2002,196,30,4.092,0,0,Besbicus conspicuus,1,0
274,lobata,4,SEDGWICK,2003,27,19,3.716,0,0,Besbicus conspicuus,1,0
472,lobata,8,LIEBRE M,2000,48,23,2.273,0,0,Besbicus conspicuus,1,0
7,lobata,1,HNHR,2001,15,20,7.582,0,0,Besbicus conspicuus,1,0
431,lobata,9,HOPLAND,2000,63,88,6.649,0,0,Besbicus conspicuus,1,0
433,lobata,9,HOPLAND,2000,65,32,2.731,0,0,Besbicus conspicuus,1,0
379,lobata,11,DYE CRK,2001,37,51,9.544,0,0,Besbicus conspicuus,1,0
195,lobata,2,JASPER R,2003,79,48,5.352,0,0,Besbicus conspicuus,1,0
45,lobata,1,HNHR,2002,106,47,4.529,0,0,Besbicus conspicuus,1,0
98,lobata,1,HNHR,2003,191,53,5.735,0,0,Besbicus conspicuus,1,0
65,lobata,1,HNHR,2002,142,46,5.993,0,0,Besbicus conspicuus,1,0
252,lobata,3,POZO,2002,59,47,2.808,0,0,Besbicus conspicuus,1,0
8,lobata,1,HNHR,2000,35,18,5.439,0,0,Besbicus conspicuus,1,0
