"id","observed_on","url","latitude","longitude","place_country_name","scientific_name","field.gall.phenophase","agdd"
6372546,"2017-05-24","https://www.inaturalist.org/observations/6372546",40.6631264882,-74.6497821808,"United States","Melikaiella ostensackeni","developing",1911.99475098
16309011,"2018-09-07","https://www.inaturalist.org/observations/16309011",40.4438896179,-79.9124984741,"United States","Melikaiella ostensackeni","senescent",6097.14501953
25406197,"2019-05-19","https://www.inaturalist.org/observations/25406197",40.4441997537,-79.9256064551,"United States","Melikaiella ostensackeni","developing",1644.07385254
27159050,"2019-06-14","https://www.inaturalist.org/observations/27159050",40.0549535383,-75.2492205007,"United States","Melikaiella ostensackeni","developing",2689.25219727
27886794,"2019-06-29","https://www.inaturalist.org/observations/27886794",40.779586792,-77.7948303223,"United States","Melikaiella ostensackeni","developing",2840.5690918
30834683,"2019-08-14","https://www.inaturalist.org/observations/30834683",40.88613,-73.0829305,"United States","Melikaiella ostensackeni","perimature",4941.17773438
31323567,"2019-08-22","https://www.inaturalist.org/observations/31323567",35.8572083333,-84.208375,"United States","Melikaiella ostensackeni","senescent",6969.65087891
31491388,"2019-08-25","https://www.inaturalist.org/observations/31491388",33.6707649231,-84.4480895996,"United States","Melikaiella ostensackeni","senescent",7818.14501953
37115910,"2019-12-28","https://www.inaturalist.org/observations/37115910",37.641005,-80.50138833,"United States","Melikaiella ostensackeni","senescent",8101.31005859
48471659,"2020-06-04","https://www.inaturalist.org/observations/48471659",42.1109698766,-71.187421447,"United States","Melikaiella ostensackeni","developing",1760.29077148
48691732,"2020-06-06","https://www.inaturalist.org/observations/48691732",42.0834959743,-71.2115559752,"United States","Melikaiella ostensackeni","developing",1835.87255859
48815631,"2020-06-07","https://www.inaturalist.org/observations/48815631",42.3702083333,-83.2519361111,"United States","Melikaiella ostensackeni","developing",1886.80432129
50319299,"2020-06-20","https://www.inaturalist.org/observations/50319299",40.8060748153,-77.9110049515,"United States","Melikaiella ostensackeni","developing",2319.65844727
52711223,"2020-07-11","https://www.inaturalist.org/observations/52711223",35.2497019758,-78.9483213687,"United States","Melikaiella ostensackeni","perimature",5550.56689453
53637630,"2020-07-19","https://www.inaturalist.org/observations/53637630",43.33296167,-70.56043833,"United States","Melikaiella ostensackeni","developing",2953.01538086
53753509,"2020-07-20","https://www.inaturalist.org/observations/53753509",40.9661,-82.1192333333,"United States","Melikaiella ostensackeni","perimature",3614.25463867
55046263,"2020-07-31","https://www.inaturalist.org/observations/55046263",42.4462528392,-71.0936282045,"United States","Melikaiella ostensackeni","senescent",4133.26708984
55070631,"2020-08-01","https://www.inaturalist.org/observations/55070631",40.28962,-81.8739166667,"United States","Melikaiella ostensackeni","perimature",4498.05419922
62197530,"2020-10-09","https://www.inaturalist.org/observations/62197530",42.3592416667,-83.2548444444,"United States","Melikaiella ostensackeni","senescent",6653.63671875
63916804,"2020-10-31","https://www.inaturalist.org/observations/63916804",32.9282516667,-97.6487516667,"United States","Melikaiella ostensackeni","developing",10866.5078125
79334845,"2021-05-18","https://www.inaturalist.org/observations/79334845",38.8756726809,-77.4973044672,"United States","Melikaiella ostensackeni","developing",1899.7277832
79427665,"2021-05-18","https://www.inaturalist.org/observations/79427665",38.8787416667,-77.4948966667,"United States","Melikaiella ostensackeni","developing",1899.7277832
79531239,"2021-05-20","https://www.inaturalist.org/observations/79531239",32.9940690485,-97.1469705165,"United States","Melikaiella ostensackeni","developing",3272.18359375
83831996,"2021-06-14","https://www.inaturalist.org/observations/83831996",44.7890917548,-93.1440761875,"United States","Melikaiella ostensackeni","developing",2121.40673828
87658323,"2021-07-18","https://www.inaturalist.org/observations/87658323",38.8670517886,-77.4999505449,"United States","Melikaiella ostensackeni","senescent",4498.03759766
88819162,"2021-07-27","https://www.inaturalist.org/observations/88819162",39.8063888889,-75.6011111111,"United States","Melikaiella ostensackeni","senescent",4515.46044922
89386735,"2021-07-31","https://www.inaturalist.org/observations/89386735",40.4097428389,-74.4983489096,"United States","Melikaiella ostensackeni","senescent",4601.72412109
89555058,"2021-08-01","https://www.inaturalist.org/observations/89555058",38.8327196517,-77.5085839379,"United States","Melikaiella ostensackeni","senescent",5163.85644531
