"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_generation","Gall_phenophase","agdd","phenogen"
3821645,"2016-08-07","Neuroterus quercusverrucarum","42.8834704","-75.6358137","http://www.inaturalist.org/observations/3821645","Gall","","unisexual","developing",3667.97607422,"developing_"
7117763,"2017-07-18","Neuroterus quercusverrucarum","41.9746383333","-87.7314083333","https://www.inaturalist.org/observations/7117763","Gall","","unisexual","developing",3763.06030273,"developing_"
7191166,"2017-07-22","Neuroterus quercusverrucarum","30.1429416667","-97.4596722222","https://www.inaturalist.org/observations/7191166","Gall","","unisexual","developing",7671.10302734,"developing_"
7233494,"2017-07-27","Neuroterus quercusverrucarum","40.785352","-73.935075","https://www.inaturalist.org/observations/7233494","Gall","","unisexual","developing",4635.69091797,"developing_"
9534167,"2018-01-18","Neuroterus quercusverrucarum","26.9940133333","-82.185425","https://www.inaturalist.org/observations/9534167","Gall","","unisexual","dormant",436.355773926,"dormant_"
13059788,"2018-05-28","Neuroterus quercusverrucarum","32.9935213","-97.1869318","https://www.inaturalist.org/observations/13059788","Gall","","unisexual","developing",3675.55322266,"developing_"
13273862,"2017-08-22","Neuroterus quercusverrucarum","46.8615095954","-113.9876440543","https://www.inaturalist.org/observations/13273862","Gall","","unisexual","developing",4624.00830078,"developing_"
14482676,"2018-07-18","Neuroterus quercusverrucarum","41.6934557049","-91.5480232243","https://www.inaturalist.org/observations/14482676","Gall","","unisexual","developing",3788.91699219,"developing_"
15364608,"2018-08-12","Neuroterus quercusverrucarum","42.00267104","-87.77985402","https://www.inaturalist.org/observations/15364608","Gall","","unisexual","developing",4466.14941406,"developing_"
15533766,"2018-08-15","Neuroterus quercusverrucarum","32.6913091365","-97.1915628604","https://www.inaturalist.org/observations/15533766","Gall","","unisexual","developing",8076.75830078,"developing_"
15572989,"2018-08-17","Neuroterus quercusverrucarum","40.7961825219","-73.918351396","https://www.inaturalist.org/observations/15572989","Gall","","unisexual","developing",5493.59960938,"developing_"
15918646,"2018-08-26","Neuroterus quercusverrucarum","40.7903519925","-73.9253682364","https://www.inaturalist.org/observations/15918646","Gall","","unisexual","developing",5874.77685547,"developing_"
16174558,"2018-09-03","Neuroterus quercusverrucarum","40.7903303672","-73.925353149","https://www.inaturalist.org/observations/16174558","Gall","","unisexual","developing",6258.203125,"developing_"
16287261,"2018-09-07","Neuroterus quercusverrucarum","43.0325971667","-76.1401888333","https://www.inaturalist.org/observations/16287261","Gall","","unisexual","developing",5582.51074219,"developing_"
16327343,"2018-09-08","Neuroterus quercusverrucarum","40.7903364441","-73.9253344574","https://www.inaturalist.org/observations/16327343","Gall","","unisexual","developing",6506.09033203,"developing_"
16555181,"2018-09-15","Neuroterus quercusverrucarum","40.7904584846","-73.9254690707","https://www.inaturalist.org/observations/16555181","Gall","","unisexual","developing",6749.57666016,"developing_"
17570524,"2018-10-16","Neuroterus quercusverrucarum","40.790230874","-73.9254468587","https://www.inaturalist.org/observations/17570524","Gall","","unisexual","developing",7828.70214844,"developing_"
18173625,"2018-11-01","Neuroterus quercusverrucarum","30.265900888","-97.7697763508","https://www.inaturalist.org/observations/18173625","Gall","","unisexual","developing",12256.1318359,"developing_"
18219500,"2018-11-07","Neuroterus quercusverrucarum","40.7876761957","-73.9257338551","https://www.inaturalist.org/observations/18219500","Gall","","unisexual","dormant",8238.90429688,"dormant_"
18276420,"2018-10-16","Neuroterus quercusverrucarum","32.9602966667","-97.2285266667","https://www.inaturalist.org/observations/18276420","Gall","","unisexual","developing",10755.1064453,"developing_"
19299772,"2018-12-29","Neuroterus quercusverrucarum","40.8004688239","-73.921349533","https://www.inaturalist.org/observations/19299772","Gall","","unisexual","dormant",8637.78320312,"dormant_"
20084129,"2019-02-04","Neuroterus quercusverrucarum","40.7957014488","-73.9145743568","https://www.inaturalist.org/observations/20084129","Gall","","unisexual","dormant",108.332824707,"dormant_"
20368302,"2019-02-15","Neuroterus quercusverrucarum","39.15393","-84.4999","https://www.inaturalist.org/observations/20368302","Gall","","unisexual","dormant",248.471817017,"dormant_"
25743549,"2019-05-24","Neuroterus quercusverrucarum","32.9836111111","-97.0625","https://www.inaturalist.org/observations/25743549","Gall","","unisexual","developing",3441.83203125,"developing_"
26934728,"2019-06-10","Neuroterus quercusverrucarum","32.6361866667","-97.1654016667","https://www.inaturalist.org/observations/26934728","Gall","","unisexual","developing",4200.04638672,"developing_"
27042797,"2019-06-15","Neuroterus quercusverrucarum","41.64489491","-87.08715535","https://www.inaturalist.org/observations/27042797","Gall","","unisexual","developing",1764.0345459,"developing_"
27240599,"2019-06-17","Neuroterus quercusverrucarum","32.58881","-97.100489","https://www.inaturalist.org/observations/27240599","Gall","","unisexual","developing",4518.26757812,"developing_"
27469590,"2019-06-22","Neuroterus quercusverrucarum","30.2104637579","-97.2586245462","https://www.inaturalist.org/observations/27469590","Gall","","unisexual","developing",5467.99462891,"developing_"
28413068,"2019-07-07","Neuroterus quercusverrucarum","40.7295601001","-73.9601146","https://www.inaturalist.org/observations/28413068","Gall","","unisexual","developing",3606.9375,"developing_"
28669174,"2019-07-12","Neuroterus quercusverrucarum","30.1968461545","-97.7751840919","https://www.inaturalist.org/observations/28669174","Gall","","unisexual","developing",6600.7421875,"developing_"
28725403,"2019-07-12","Neuroterus quercusverrucarum","38.642477","-90.274237","https://www.inaturalist.org/observations/28725403","Gall","","unisexual","developing",4305.51708984,"developing_"
28978694,"2019-07-14","Neuroterus quercusverrucarum","32.6918083333","-97.1911933333","https://www.inaturalist.org/observations/28978694","Gall","","unisexual","developing",5912.81005859,"developing_"
29111032,"2019-07-18","Neuroterus quercusverrucarum","42.4813678","-83.1912878","https://www.inaturalist.org/observations/29111032","Gall","","unisexual","developing",3337.30639648,"developing_"
29137221,"2019-07-12","Neuroterus quercusverrucarum","40.6017156364","-74.532916256","https://www.inaturalist.org/observations/29137221","Gall","Larva","unisexual","developing",3681.25927734,"developing_Larva"
29148310,"2019-07-19","Neuroterus quercusverrucarum","40.7830783333","-81.918305","https://www.inaturalist.org/observations/29148310","Gall","","unisexual","developing",3707.5847168,"developing_"
29180846,"2019-07-20","Neuroterus quercusverrucarum","30.7001779604","-85.9275816008","https://www.inaturalist.org/observations/29180846","Gall","","unisexual","developing",7102.51855469,"developing_"
29342176,"2019-07-22","Neuroterus quercusverrucarum","32.9646911621","-97.0935592651","https://www.inaturalist.org/observations/29342176","Gall","","unisexual","developing",5757.19775391,"developing_"
29454579,"2019-07-24","Neuroterus quercusverrucarum","42.4558033333","-96.3716883333","https://www.inaturalist.org/observations/29454579","Gall","","unisexual","developing",3573.30395508,"developing_"
29473198,"2019-07-24","Neuroterus quercusverrucarum","42.4250148275","-83.9353377759","https://www.inaturalist.org/observations/29473198","Gall","","unisexual","developing",3352.00366211,"developing_"
29646496,"2019-07-26","Neuroterus quercusverrucarum","32.9056663513","-97.1161499023","https://www.inaturalist.org/observations/29646496","Gall","","unisexual","developing",6551.79736328,"developing_"
29666704,"2019-07-27","Neuroterus quercusverrucarum","40.7331703138","-73.9739643317","https://www.inaturalist.org/observations/29666704","Gall","","unisexual","developing",4567.25585938,"developing_"
30183567,"2019-08-04","Neuroterus quercusverrucarum","40.7927583333","-73.955475","https://www.inaturalist.org/observations/30183567","Gall","","unisexual","developing",4949.61083984,"developing_"
30207887,"2019-08-04","Neuroterus quercusverrucarum","41.97423","-87.6817633333","https://www.inaturalist.org/observations/30207887","Gall","","unisexual","developing",3792.42724609,"developing_"
30222209,"2019-08-04","Neuroterus quercusverrucarum","41.9745861111","-87.7287055556","https://www.inaturalist.org/observations/30222209","Gall","","unisexual","developing",3974.7668457,"developing_"
30224197,"2019-08-04","Neuroterus quercusverrucarum","41.9752","-87.7307444444","https://www.inaturalist.org/observations/30224197","Gall","","unisexual","developing",4001.95532227,"developing_"
30349190,"2019-08-06","Neuroterus quercusverrucarum","40.7011375427","-73.9965820313","https://www.inaturalist.org/observations/30349190","Gall","","unisexual","developing",5084.36865234,"developing_"
30544814,"2019-08-10","Neuroterus quercusverrucarum","40.68434148","-77.80230314","https://www.inaturalist.org/observations/30544814","Gall","","unisexual","developing",4676.20166016,"developing_"
30639561,"2019-08-09","Neuroterus quercusverrucarum","43.3406718853","-88.1339935586","https://www.inaturalist.org/observations/30639561","Gall","","unisexual","developing",3767.01953125,"developing_"
