"","site_id","Latitude","Longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","df$individual_id","Q1","Q3","IQR","observed_on","agdd"
"1",1915,41.78344,-73.732552,128,"NY",100,"Quercus","alba","white oak","Plantae",3992,371,"Breaking leaf buds",2016,4,27,118,2457506,14,2016,5,9,130,2457518,9,3992,118,123.25,5.25,2016-04-27,941.84954834
"2",5951,45.407852,-93.199257,275,"MN",100,"Quercus","alba","white oak","Plantae",5103,371,"Breaking leaf buds",2016,4,27,118,2457506,7,2016,5,16,137,2457525,16,5103,120.75,130.75,10,2016-04-27,625.580383301
"3",5951,45.407852,-93.199257,275,"MN",100,"Quercus","alba","white oak","Plantae",5105,371,"Breaking leaf buds",2016,4,27,118,2457506,7,2016,5,16,137,2457525,16,5105,119.5,129,9.5,2016-04-27,625.580383301
"4",8440,42.283279,-83.771729,273,"MI",100,"Quercus","alba","white oak","Plantae",25513,371,"Breaking leaf buds",2016,4,22,113,2457501,3,2016,5,15,136,2457524,6,25513,107,121.75,14.75,2016-04-22,684.305175781
"5",2772,36.440838,-84.323586,384,"TN",100,"Quercus","alba","white oak","Plantae",60644,371,"Breaking leaf buds",2016,4,17,108,2457496,1,2016,4,20,111,2457499,1,60644,103.75,108.75,5,2016-04-17,1125.67407227
"6",2772,36.440838,-84.323586,384,"TN",100,"Quercus","alba","white oak","Plantae",60644,371,"Breaking leaf buds",2016,4,25,116,2457504,1,2016,4,26,117,2457505,1,60644,103.75,108.75,5,2016-04-25,1367.45910645
"7",16257,41.211025,-73.826889,696,"NY",100,"Quercus","alba","white oak","Plantae",69431,371,"Breaking leaf buds",2016,4,25,116,2457504,7,2016,5,5,126,2457514,21,69431,109,115.75,6.75,2016-04-25,1022.27319336
"8",20223,42.296417,-71.128052,26,"MA",100,"Quercus","alba","white oak","Plantae",87756,371,"Breaking leaf buds",2016,4,17,108,2457496,1,2016,4,17,108,2457496,1,87756,113.5,147.75,34.25,2016-04-17,727.253295898
"9",20223,42.296417,-71.128052,26,"MA",100,"Quercus","alba","white oak","Plantae",87756,371,"Breaking leaf buds",2016,4,24,115,2457503,1,2016,5,3,124,2457512,3,87756,113.5,147.75,34.25,2016-04-24,887.687255859
"10",20223,42.296417,-71.128052,26,"MA",100,"Quercus","alba","white oak","Plantae",87756,371,"Breaking leaf buds",2016,5,8,129,2457517,2,2016,5,9,130,2457518,6,87756,113.5,147.75,34.25,2016-05-08,1106.94494629
"11",20223,42.296417,-71.128052,26,"MA",100,"Quercus","alba","white oak","Plantae",87756,371,"Breaking leaf buds",2016,6,2,154,2457542,2,2016,6,2,154,2457542,5,87756,113.5,147.75,34.25,2016-06-02,1844.74658203
"12",20343,42.300278,-71.124771,30,"MA",100,"Quercus","alba","white oak","Plantae",87761,371,"Breaking leaf buds",2016,4,24,115,2457503,10,2016,5,9,130,2457518,12,87761,115.25,132.25,17,2016-04-24,887.687255859
"13",22017,35.497227,-82.608856,673,"NC",100,"Quercus","alba","white oak","Plantae",96828,371,"Breaking leaf buds",2016,4,6,97,2457485,7,2016,4,6,97,2457485,1,96828,81.5,107.5,26,2016-04-06,1103.01220703
"14",22017,35.497227,-82.608856,673,"NC",100,"Quercus","alba","white oak","Plantae",96828,371,"Breaking leaf buds",2016,4,27,118,2457506,7,2016,4,27,118,2457506,7,96828,81.5,107.5,26,2016-04-27,1587.1940918
"15",22017,35.497227,-82.608856,673,"NC",100,"Quercus","alba","white oak","Plantae",96834,371,"Breaking leaf buds",2016,3,16,76,2457464,6,2016,4,20,111,2457499,7,96834,78.25,108.5,30.25,2016-03-16,673.082519531
"16",1915,41.78344,-73.732552,128,"NY",100,"Quercus","alba","white oak","Plantae",3992,371,"Breaking leaf buds",2017,5,1,121,2457875,7,2017,5,12,132,2457886,20,3992,118,123.25,5.25,2017-05-01,1044.45812988
"17",5951,45.407852,-93.199257,275,"MN",100,"Quercus","alba","white oak","Plantae",5103,371,"Breaking leaf buds",2017,5,3,123,2457877,6,2017,5,16,136,2457890,9,5103,120.75,130.75,10,2017-05-03,670.553283691
"18",5951,45.407852,-93.199257,275,"MN",100,"Quercus","alba","white oak","Plantae",5105,371,"Breaking leaf buds",2017,5,3,123,2457877,6,2017,5,16,136,2457890,9,5105,119.5,129,9.5,2017-05-03,670.553283691
"19",8440,42.283279,-83.771729,273,"MI",100,"Quercus","alba","white oak","Plantae",25513,371,"Breaking leaf buds",2017,4,15,105,2457859,5,2017,5,19,139,2457893,9,25513,107,121.75,14.75,2017-04-15,691.424255371
"20",2772,36.440838,-84.323586,384,"TN",100,"Quercus","alba","white oak","Plantae",60644,371,"Breaking leaf buds",2017,4,14,104,2457858,1,2017,4,15,105,2457859,1,60644,103.75,108.75,5,2017-04-14,1512.02575684
"21",2772,36.440838,-84.323586,384,"TN",100,"Quercus","alba","white oak","Plantae",60644,371,"Breaking leaf buds",2017,4,17,107,2457861,1,2017,4,26,116,2457870,2,60644,103.75,108.75,5,2017-04-17,1620.93469238
"22",16257,41.211025,-73.826889,696,"NY",100,"Quercus","alba","white oak","Plantae",69431,371,"Breaking leaf buds",2017,4,18,108,2457862,7,2017,4,18,108,2457862,36,69431,109,115.75,6.75,2017-04-18,835.217224121
"23",20223,42.296417,-71.128052,26,"MA",100,"Quercus","alba","white oak","Plantae",87756,371,"Breaking leaf buds",2017,4,14,104,2457858,2,2017,4,14,104,2457858,1,87756,113.5,147.75,34.25,2017-04-14,632.177246094
"24",20223,42.296417,-71.128052,26,"MA",100,"Quercus","alba","white oak","Plantae",87756,371,"Breaking leaf buds",2017,4,19,109,2457863,1,2017,4,20,110,2457864,2,87756,113.5,147.75,34.25,2017-04-19,755.765197754
