"","site_id","Latitude","Longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","last_yes_year","last_yes_month","last_yes_day","last_yes_doy","last_yes_julian_date","numdays_until_next_no","df$individual_id","Q1","Q3","IQR","observed_on","agdd"
"1",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2016,3,24,84,2457472,6,2016,4,12,103,2457491,10,60661,61,158,97,2016-03-24,2588.58862305
"2",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2016,3,18,78,2457466,8,2016,4,1,92,2457480,11,60662,54,117,63,2016-03-18,2389.85058594
"3",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2016,3,18,78,2457466,8,2016,4,1,92,2457480,11,64549,60,121,61,2016-03-18,2389.85058594
"4",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2016,3,18,78,2457466,8,2016,4,1,92,2457480,11,64558,60.75,89.25,28.5,2016-03-18,2389.85058594
"5",5758,28.057789,-82.424065,10,"FL",305,"Quercus","virginiana","live oak","Plantae",13058,371,"Breaking leaf buds",2017,5,26,146,2457900,-9999,2017,10,3,276,2458030,7,13058,100,169,69,2017-05-26,5556.06738281
"6",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60661,371,"Breaking leaf buds",2017,3,9,68,2457822,7,2017,3,23,82,2457836,7,60661,61,158,97,2017-03-09,2324.52880859
"7",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2017,1,19,19,2457773,6,2017,1,26,26,2457780,7,60662,54,117,63,2017-01-19,626.597900391
"8",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2017,2,23,54,2457808,7,2017,3,16,75,2457829,7,60662,54,117,63,2017-02-23,1785.90563965
"9",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",60662,371,"Breaking leaf buds",2017,4,20,110,2457864,6,2017,4,20,110,2457864,7,60662,54,117,63,2017-04-20,3944.76196289
"10",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64549,371,"Breaking leaf buds",2017,3,2,61,2457815,7,2017,3,23,82,2457836,7,64549,60,121,61,2017-03-02,2068.00170898
"11",16295,27.929228,-82.725639,3,"FL",305,"Quercus","virginiana","live oak","Plantae",64558,371,"Breaking leaf buds",2017,3,2,61,2457815,7,2017,3,30,89,2457843,15,64558,60.75,89.25,28.5,2017-03-02,2068.00170898
"12",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127549,371,"Breaking leaf buds",2017,3,15,74,2457828,5,2017,3,23,82,2457836,12,127549,62,79,17,2017-03-15,2173.71533203
"13",25901,30.05377,-89.880486,0,"LA",305,"Quercus","virginiana","live oak","Plantae",127550,371,"Breaking leaf buds",2017,3,15,74,2457828,5,2017,3,23,82,2457836,12,127550,58.25,75.5,17.25,2017-03-15,2173.71533203
"14",5758,28.057789,-82.424065,10,"FL",305,"Quercus","virginiana","live oak","Plantae",13058,371,"Breaking leaf buds",2018,7,11,192,2458311,35,2018,7,11,192,2458311,7,13058,100,169,69,2018-07-11,7467.30712891
