Collection Site,Species,Generation,Host plant,State,Harvest.date,Emergence.date,Emergent.animal.type,Alive.dead,N,Entered.by.,H.julian,E.julian,Latitude,Longitude,Year
Alva,A. atra,asexual,Qv,FL,4/23/17,5/12/17,fly,dead,1,MJ,113,497,26.7092,-81.6154,2016
Alva,A. lanigera,asexual,Qg,FL,11/18/17,3/23/18,cynipid,dead,1,EH,322,447,26.7092,-81.6154,2017
Alva,A. lanigera,asexual,Qg,FL,11/18/17,2/28/18,synergist,dead,1,EH,322,424,26.7092,-81.6154,2017
Alva,A. lanigera,asexual,Qv,FL,11/18/17,2/28/18,synergist,alive,1,EH,322,424,26.7092,-81.6154,2017
Alva,A. atra,asexual,Qv,FL,4/23/17,5/12/17,fly,alive,1,MJ,113,497,26.7092,-81.6154,2016
Alva,A. lanigera,asexual,Qg,FL,11/18/17,2/28/18,cynipid,alive,1,EH,322,424,26.7092,-81.6154,2017
Alva,A. lanigera,asexual,Qv,FL,11/18/17,3/28/18,synergist,dead,1,EH,322,452,26.7092,-81.6154,2017
Amelia island,D. q. virens,asexual,Qv,FL,12/12/17,12/23/17,cynipid,dead,3,LZ,346,357,30.59949,-81.44547,2017
Amelia island,A. atra,NA,Qv,FL,12/12/17,3/19/18,fly,dead,1,EH,346,443,30.59949,-81.44547,2017
Amelia island,C. batatoides,asexual,Qv,FL,12/12/17,3/8/18,cynipid,alive,2,EH,346,432,30.59949,-81.44547,2017
Amelia island,A. foliatus,asexual,Qg,FL,12/12/17,12/23/17,cynipid,alive,1,LZ,346,357,30.59949,-81.44547,2017
Amelia island,A. atra,NA,Qv,FL,12/12/17,4/2/18,fly,dead,1,EH,346,457,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,1/4/18,cynipid,alive,2,LZ,346,369,30.59949,-81.44547,2017
Amelia island,D. q. virens,asexual,Qg,FL,12/12/17,12/26/17,cynipid,alive,3,IC,346,360,30.59949,-81.44547,2017
