Record,Current name (from Valid Names),Galls,Name in record,Source,Description,Host associations mentioned,Photos,Page link,Taxonomic Info,Biology Note,Phenology,Range,Original Description?
1,Aceria elongata,Aceria elongata,Aceria elongata,Amrine Catalog,Red erineum patches on the upper surfaces of leaves.,Acer saccharum,,,"Note about Erineum roseum Schultz (Harlow): Hagen (1885) p. 24, # 25, ""Acer saccharinum Wang"". Pl. [Place] Shelburne, NH, August 1882. Prof. Harlow [collector of fungi]. Erineum roseum Schult. (Farlow); small velvety patches [red] on the upper surface of leaves. [This shows the great confusion in the names of the maples; Silver Maple, Acer saccharinum, never has red erineum on the upper surface of the leaves. The host was actually Acer dasycarpum Ehrh., regarded by , the old name for the sugar maple, Acer saccharum L. I have collected it many times from Sugar Maple.] 

Aceria regula is the deutogyne and a junior synonym; Aceria elongata is the protogyne; Aceria elongata has seniority by pagination in the 1913 paper (#272)"" based on comments in #4062. Aceria regula is not the deutogyne; the deutogyne lacks MT on dorsal opisthosomal annuli; Hodgkiss illustrated a mite with complete dorsal microtuberculation and a distinctive shield pattern. Aceria regula is probably an inquiline that occurs in the red erineum in New York.",,,,No
2,Aceria elongata,Aceria elongata,Eriophyes elongatus,New Species of Maple Mites,"Described from individuals found among red erineum galls on the upper surfaces of leaves of the sugar maple, Acer saccharum L.",Acer saccharum,,,,,,,Yes
3,Aceria major,Aceria major,Eriophyes major,New Species of Maple Mites,"Described from individuals found among galls of pinkish erineum on the under surface of leaves of the red maple, Acer rubrum L.",Acer rubrum,,,,,,,Yes
4,Aceria modesta,Aceria modesta,Eriophyes modestus,New Species of Maple Mites,"Described from individuals found among greenish erineum galls on the under surface of leaves of the sugar maple, Acer saccharum L.",Acer saccharum,,,,,,,Yes
5,Aceria negundi,Aceria negundi,Eriophyes negundi,New Species of Maple Mites,"Described from individuals found in wart-like swellings of leaves of the black maple, Acer negundo L.
",Acer negundo,,,,,,,Yes
6,Aceria spicati,Aceria spicati,Eriophyes parallelus,New Species of Maple Mites,"Described from individuals found in a whitish erineum on the under surfaces of leaves of the mountain maple, Acer spicatum L.",Acer spicatum,,,,,,,Yes
7,Vasates quadripedes,Vasates quadripedes,Eriophyes confusus,New Species of Maple Mites,"Described from individuals found associated with P quadripes Shimer in bladder galls on the leaves of the soft maple, Acer saccharinum.",Acer saccharinum,,,,,,,Yes
8,Aceria major,Aceria major,Eriophyes ornatus,New Species of Maple Mites,"Described from individuals found among pinkish erineum galls on the under surfaces of leaves of the red maple, Acer rubrum L.",Acer rubrum,,,,,,,Yes
9,Aceria elongata,Aceria elongata,Eriophyes regulus,New Species of Maple Mites,"Described from individuals found among red erineum galls on the upper surfaces of leaves of the sugar maple, Acer saccharum L.",Acer saccharum,,,,,,,Yes
10,Rhyncaphytoptus magnificus,Rhyncaphytoptus magnificus,Phyllocoptes magnificus,New Species of Maple Mites,"Described from individuals found in epidermal hairy growths which occur in the axils of the veins on the under surfaces of leaves of the Norway maple, Acer platanoides L.",Acer platanoides,,,,,,,Yes
11,Aculus minutissimus,Aculus minutissimus,Phyllocoptes minutissimus,New Species of Maple Mites,"Described from individuals found among red erineum galls on the upper surfaces of leaves of the red maple, Acer rubrum L.",Acer rubrum,,,,,,,Yes
12,Aculus quinquilobus,Aculus quinquilobus,Phyllocoptes quinquilobus,New Species of Maple Mites,"Described from individuals found among pinkish erineum galls on the under surfaces of leaves of the red maple, Acer rubrum L.",Acer rubrum,,,,,,,Yes
13,Vasates quadripedes,Vasates quadripedes,Vasates quadripedes,Amrine Catalog,Bladder galls on leaf upper surface.,"Acer saccharinum,Acer rubrum",,,"Keifer restored the concept of Vasates in papers 316 and 322 (described protogynes & deutogynes). Misspelled as quadripes Shimer by Osborn 1879, Banks, 1901, 1904 & 1907, Chadwick, 1907, Miller 1925, Nalepa 1923, 1929, and many other authors until Banks, 1915 and Hodgkiss, 1930 corrected it to quadripedes. Eriophyes confusus Hodgkiss is probably the deutogyne. The gall in each maple is caused by a different species of Vasates.",,,,No
14,Aceria major,Aceria major,Aceria major,Amrine Catalog,"Pale-greenish or greenish-yellow lower surface, leaf erineum often with a reddish tint, later becoming red, then brown and dry.",Acer rubrum,,,Aceria major could be the protogyne and A. ornatus the deutogyne [2411].,,,,No
15,Aceria modesta,Aceria modesta,Aceria modesta,Amrine Catalog,Whitish or greenish erineum patches on the lower surfaces of leaves or along the veins.,Acer saccharum,,,,,,,No
16,Aceria negundi,Aceria negundi,Aceria negundi,Amrine Catalog,"Wart-like swellings or pouch galls on leaves, lower surface erineum.",Acer negundo,,,"At least Briones & McDaniel's use of Aceria calaceris Keifer, 1952 [310] is a junior synonym of negundi Hodgkiss; Baker et al. 1996 [2411] figues both mites; there are no clear-cut distinctions. All three erineum mites should be carefully studied and rearing studies conducted.",,,,No
17,Aceria spicati,Aceria spicati,Aceria spicati,Amrine Catalog,"Small white ""frost"" (= erineum) galls on leaf underside at vein angles; cylindrical galls on leaf surface on Acer insulare.",Acer spicatum,,,"Listed as nomen nudum by Nalepa (1929b) and Amrine & Stasny (1994), Baker et al. (1996), but meets all criteria for a valid species. The mite on Acer insulare in Taiwan is a different species [4768,4761].",,,,No
18,Rhyncaphytoptus magnificus,Rhyncaphytoptus magnificus,Rhyncaphytoptus magnificus,Amrine Catalog,Epidermal hairy growths which occur in the axils of the veins on the under surfaces of leaves.,"Acer platanoides,Acer rubrum",,,,,,,No
19,Aculus minutissimus,Aculus minutissimus,Aculus minutissimus,Amrine Catalog,White or red erineum consisting of large capitate multicellular processes on the upper surfaces of leaves. It may be an inquiline.,Acer rubrum,,,,,,,No
20,Aculus quinquilobus,Aculus quinquilobus,Aculus quinquilobus,Amrine Catalog,Causes whitish or pinkish erineum galls on the lower surfaces of leaves.,Acer rubrum,,,,,,,No
21,Eriophyes aceris,Eriophyes aceris,Eriophyes aceris,Amrine Catalog,"Elongate red carmine galls, filled with hairs, with large open aperture on underside of leaf; hairs protruding from aperture.",Acer saccharinum,,,"Listed in Nalepa 1923 [#1084, p. 28]. Need to find and redescribe the mite. Aceria aceris (Murray, 1877) is a senior, valid name, according to the code. But, because of the confusion this change would cause to the understanding of the taxonomy of European maple mites, we recommend that Eriophyes aceris (Murray, 1877) be suppressed in favor of Eriophyes macrorhynchus Nalepa, 1889, now listed as Aceria macrorhyncha (Nalepa, 1889).",,,,No
22,Aceria calaceris,Aceria calaceris,Aceria calaceris,Amrine Catalog,"""These mites are found in and probably cause the red erineum on leaf tips [upper surface]""; produce bright red erineum on upper leaf surfaces.","Acer glabrum,Acer heldreichii,Acer macrophyllum",,,"This mite's records from Acer negundo L. in the east are probably Aceria negundi (Hodgkiss, 1913) [white or brown erineum, not red]. All three erineum mites should be carefully studied and rearing studies conducted.",,,,No
23,Vasates aceriscrumena,Vasates aceriscrumena,Vasates aceriscrumena,Amrine Catalog,"Upper surface, leaf finger galls with lower surface opening.","Acer saccharum,Acer leucoderme",,,,,,,No
24,Aceria myriadeum,Aceria myriadeum,Aceria myriadeum,Amrine Catalog,"Numerous cephaloneon galls on leaf surface, Cephaloneon myriadeum Bremi","Acer campestre,Acer pseudoplatanus",,,"This name was found in Nalepa 1923c [1084:40, as nomen nudum]; added to the catalog 18 Jun 1999. This is a valid name, according to the code, and replaces a very unwieldly name. See synonymy and references under aceriscampestris Nalepa, 1922 [#185].",,,,No
25,Cecidophyes naulti,Cecidophyes naulti,Cecidophyes naulti,Amrine Catalog,The mites were found on the lower surface of leaf curling.,Acer rubrum,,,,,,,No
26,Aceria negundi,Aceria negundi,Eriophyes negundi,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"The galls are large, rounded, and peculiarly pouchtype. They develop on the underside of the leaf blade as thickened cavities filled with a dense mass of felty, whitish, unicellular hairs. They protrude on the upper side and have slightly wrinkled domes. Their dimensions are variable. The galls are solitary and widespread on the leaf blade but are not on the veins. 
Specimens were collected in galls on box elder in New York, Illinois, and Canada and recently in Ohio. Hodgkiss {1930) reported two species of Phyllocoptes in galls of box elder in New York; they should not be confused with E. negundi. ",Acer negundo,8A,,,The life cycle apparently involves alternation of generations. The mites usually are found in the galls until the leaves mature.,,,No
27,Vasates quadripedes,Vasates quadripedes,Vasates quadripedes,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"The mite causes a pouch gall type known as bladder gall, which is periodically common and abundant on the upper leaf surface of red and silver maples. The galls on the latter are variable in shape, rounded or elongate. Each has a slender short stem or neck. The length varies from 1.5 to 5 mm. They are solitary and are usually crowded and numerous at the basal part of the leaf blade in the angles between the larger veins. The exterior of the galls appears wrinkled and glossy. They change from yellowish green or dark green to pink, to brown, to black. The interior is hollow, and the exit hole, which is on the underside of the leaf, is lined with unicellular whitish hairs. In heavy infestations, the leaves become curled, form cylindrical rolls, and drop prematurely. The galls on red maple differ in size and form. They are smaller, I to 2 mm, somewhat beadlike, and without a basal constriction or neck. 
Vasates quadripedes is found on red and silver maples in the United States and Canada.","Acer saccharinum,Acer rubrum","9A, 9B, 9C, 9D",,"An inquiline in the galls, Eriophyes confusus Hodgkiss, is probably the protogyne of V. quadripedes. ",The life history apparently involves alternation of generations. The mites inhabit the galls throughout the summer and begin to migrate to trunk and branches as the galls become discolored. They overwinter under bark scales. ,,,No
28,Eriophyes aceris,Eriophyes aceris,Eriophyes aceris,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"In erineum on leaves of silver maple, E. aceris Hodgkiss is abundant. The erineum patches, which are on the undersurface of the leaves, are pale greenish or greenish yellow, often with a reddish tint, and later red. In July most of the erineum turns brown and becomes dry. ",Acer saccharinum,,,,,,,No
29,Vasates aceriscrumena,Vasates aceriscrumena,Vasates aceriscrumena,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,"Another common and abundant pouch gall that develops on the upper surface of sugar maple leaves is the spindle or finger gall, which is caused by Vasates aceriscrumena. The gall is distinguished from that of V. quadripedes Shimer by its form, position, color, and texture. The galls are solitary, elongate, with pointed or truncate apices, or spindle shaped. They are variable in size, up to 5 mm in length, and tend to crowd at the apical half of the leaf blade. They vary from greenish tinged with yellow to pink, to crimson. The exit hole on the underside of the leaf has a tuft of unicellular hairs, but the interior of the gall is thin walled and lacks hairs. 
Vasates aceriscrumena is similar to V. quadripedes. It is recognized by having two spinules on the anterior lobe of the dorsal shield, by the forward-centrad direction of the dorsal setae, and by the well pronounced design of the dorsal shield. 
Specimens are found in galls through July on sugar maple in the Eastern United States and Canada. 
",Acer saccharum,"10A, 10B",,"This mite was described in 1883 as Phytoptus acericola by Garman, who reported that it caused galls on maple in Illinois. It is a synonym of V. aceriscrumena. ",The life history is similar [to V aceriscrumena]: The life history apparently involves alternation of generations. The mites inhabit the galls throughout the summer and begin to migrate to trunk and branches as the galls become discolored. They overwinter under bark scales. ,,,No
