Gall,All BHL descriptions added,Record,Gallformer Species,Host Plant,Host genus,References,Host associations mentioned (from Descriptions),Description (from Source Contents),Photos (from Source Contents),Taxonomic Info (from Source Contents),Source (from Source Contents),Location,Detachable,Texture,Alignment,Walls
Aceria calaceris,,1,Aceria calaceris,"Acer glabrum,Acer macrophyllum,Acer heldreichii",,22,"Acer glabrum,Acer heldreichii,Acer macrophyllum","""These mites are found in and probably cause the red erineum on leaf tips [upper surface]""; produce bright red erineum on upper leaf surfaces.",,"This mite's records from Acer negundo L. in the east are probably Aceria negundi (Hodgkiss, 1913) [white or brown erineum, not red]. All three erineum mites should be carefully studied and rearing studies conducted.",Amrine Catalog,"upper leaf,between veins",no,,,
Aceria elongata,,2,Aceria elongata,Acer saccharum,,"1,2,9","Acer saccharum,Acer saccharum,Acer saccharum","Red erineum patches on the upper surfaces of leaves., Described from individuals found among red erineum galls on the upper surfaces of leaves of the sugar maple, Acer saccharum L., Described from individuals found among red erineum galls on the upper surfaces of leaves of the sugar maple, Acer saccharum L.",,"Note about Erineum roseum Schultz (Harlow): Hagen (1885) p. 24, # 25, ""Acer saccharinum Wang"". Pl. [Place] Shelburne, NH, August 1882. Prof. Harlow [collector of fungi]. Erineum roseum Schult. (Farlow); small velvety patches [red] on the upper surface of leaves. [This shows the great confusion in the names of the maples; Silver Maple, Acer saccharinum, never has red erineum on the upper surface of the leaves. The host was actually Acer dasycarpum Ehrh., regarded by , the old name for the sugar maple, Acer saccharum L. I have collected it many times from Sugar Maple.] 

Aceria regula is the deutogyne and a junior synonym; Aceria elongata is the protogyne; Aceria elongata has seniority by pagination in the 1913 paper (#272)"" based on comments in #4062. Aceria regula is not the deutogyne; the deutogyne lacks MT on dorsal opisthosomal annuli; Hodgkiss illustrated a mite with complete dorsal microtuberculation and a distinctive shield pattern. Aceria regula is probably an inquiline that occurs in the red erineum in New York.","Amrine Catalog,New Species of Maple Mites,New Species of Maple Mites","upper leaf,between veins",no,,,
Aceria modesta,,3,Aceria modesta,"Acer saccharum,Acer floridanum",,"4,15","Acer saccharum,Acer saccharum","Described from individuals found among greenish erineum galls on the under surface of leaves of the sugar maple, Acer saccharum L., Whitish or greenish erineum patches on the lower surfaces of leaves or along the veins.",,,"New Species of Maple Mites,Amrine Catalog","lower leaf,between veins",no,,,
Eriophyes aceris,,4,Eriophyes aceris,Acer saccharinum,,"21,28","Acer saccharinum,Acer saccharinum","Elongate red carmine galls, filled with hairs, with large open aperture on underside of leaf; hairs protruding from aperture., In erineum on leaves of silver maple, E. aceris Hodgkiss is abundant. The erineum patches, which are on the undersurface of the leaves, are pale greenish or greenish yellow, often with a reddish tint, and later red. In July most of the erineum turns brown and becomes dry. ",,"Listed in Nalepa 1923 [#1084, p. 28]. Need to find and redescribe the mite. Aceria aceris (Murray, 1877) is a senior, valid name, according to the code. But, because of the confusion this change would cause to the understanding of the taxonomy of European maple mites, we recommend that Eriophyes aceris (Murray, 1877) be suppressed in favor of Eriophyes macrorhynchus Nalepa, 1889, now listed as Aceria macrorhyncha (Nalepa, 1889).","Amrine Catalog,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America","lower leaf,between veins",no,,,
Aceria major,,5,Aceria major,"Acer rubrum,Acer macrophyllum,Acer circinatum",,"3,8,14","Acer rubrum,Acer rubrum,Acer rubrum","Described from individuals found among galls of pinkish erineum on the under surface of leaves of the red maple, Acer rubrum L., Described from individuals found among pinkish erineum galls on the under surfaces of leaves of the red maple, Acer rubrum L., Pale-greenish or greenish-yellow lower surface, leaf erineum often with a reddish tint, later becoming red, then brown and dry.",,Aceria major could be the protogyne and A. ornatus the deutogyne [2411].,"New Species of Maple Mites,New Species of Maple Mites,Amrine Catalog","lower leaf,between veins",no,,,
Aculus minutissimus,,6,Aculus minutissimus,"Acer rubrum,Acer xfreemanii",,"11,19","Acer rubrum,Acer rubrum","Described from individuals found among red erineum galls on the upper surfaces of leaves of the red maple, Acer rubrum L., White or red erineum consisting of large capitate multicellular processes on the upper surfaces of leaves. It may be an inquiline.",,,"New Species of Maple Mites,Amrine Catalog","upper leaf,leaf veins",no,,,
Aculus quinquilobus,,7,Aculus quinquilobus,Acer rubrum,,"12,20","Acer rubrum,Acer rubrum","Described from individuals found among pinkish erineum galls on the under surfaces of leaves of the red maple, Acer rubrum L., Causes whitish or pinkish erineum galls on the lower surfaces of leaves.",,,"New Species of Maple Mites,Amrine Catalog","lower leaf,between veins",no,,,
Aceria negundi,,8,Aceria negundi,Acer negundo,,"5,16,26","Acer negundo,Acer negundo,Acer negundo","Described from individuals found in wart-like swellings of leaves of the black maple, Acer negundo L.
, Wart-like swellings or pouch galls on leaves, lower surface erineum., The galls are large, rounded, and peculiarly pouchtype. They develop on the underside of the leaf blade as thickened cavities filled with a dense mass of felty, whitish, unicellular hairs. They protrude on the upper side and have slightly wrinkled domes. Their dimensions are variable. The galls are solitary and widespread on the leaf blade but are not on the veins. 
Specimens were collected in galls on box elder in New York, Illinois, and Canada and recently in Ohio. Hodgkiss {1930) reported two species of Phyllocoptes in galls of box elder in New York; they should not be confused with E. negundi. ",8A,"At least Briones & McDaniel's use of Aceria calaceris Keifer, 1952 [310] is a junior synonym of negundi Hodgkiss; Baker et al. 1996 [2411] figues both mites; there are no clear-cut distinctions. All three erineum mites should be carefully studied and rearing studies conducted.","New Species of Maple Mites,Amrine Catalog,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America","upper leaf,lower leaf,between veins",no,,,
Vasates quadripedes,,9,Vasates quadripedes,"Acer rubrum,Acer saccharinum,Acer pseudoplatanus",,"7,13,27","Acer saccharinum,Acer saccharinum,Acer rubrum,Acer saccharinum,Acer rubrum","Described from individuals found associated with P quadripes Shimer in bladder galls on the leaves of the soft maple, Acer saccharinum., Bladder galls on leaf upper surface., The mite causes a pouch gall type known as bladder gall, which is periodically common and abundant on the upper leaf surface of red and silver maples. The galls on the latter are variable in shape, rounded or elongate. Each has a slender short stem or neck. The length varies from 1.5 to 5 mm. They are solitary and are usually crowded and numerous at the basal part of the leaf blade in the angles between the larger veins. The exterior of the galls appears wrinkled and glossy. They change from yellowish green or dark green to pink, to brown, to black. The interior is hollow, and the exit hole, which is on the underside of the leaf, is lined with unicellular whitish hairs. In heavy infestations, the leaves become curled, form cylindrical rolls, and drop prematurely. The galls on red maple differ in size and form. They are smaller, I to 2 mm, somewhat beadlike, and without a basal constriction or neck. 
Vasates quadripedes is found on red and silver maples in the United States and Canada.","9A, 9B, 9C, 9D","Keifer restored the concept of Vasates in papers 316 and 322 (described protogynes & deutogynes). Misspelled as quadripes Shimer by Osborn 1879, Banks, 1901, 1904 & 1907, Chadwick, 1907, Miller 1925, Nalepa 1923, 1929, and many other authors until Banks, 1915 and Hodgkiss, 1930 corrected it to quadripedes. Eriophyes confusus Hodgkiss is probably the deutogyne. The gall in each maple is caused by a different species of Vasates., An inquiline in the galls, Eriophyes confusus Hodgkiss, is probably the protogyne of V. quadripedes. ","New Species of Maple Mites,Amrine Catalog,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America","upper leaf,between veins",no,,,
Vasates aceriscrumena,,10,Vasates aceriscrumena,"Acer saccharum,Acer nigrum,Acer leucoderme,Acer floridanum",,"23,29","Acer saccharum,Acer leucoderme,Acer saccharum","Upper surface, leaf finger galls with lower surface opening., Another common and abundant pouch gall that develops on the upper surface of sugar maple leaves is the spindle or finger gall, which is caused by Vasates aceriscrumena. The gall is distinguished from that of V. quadripedes Shimer by its form, position, color, and texture. The galls are solitary, elongate, with pointed or truncate apices, or spindle shaped. They are variable in size, up to 5 mm in length, and tend to crowd at the apical half of the leaf blade. They vary from greenish tinged with yellow to pink, to crimson. The exit hole on the underside of the leaf has a tuft of unicellular hairs, but the interior of the gall is thin walled and lacks hairs. 
Vasates aceriscrumena is similar to V. quadripedes. It is recognized by having two spinules on the anterior lobe of the dorsal shield, by the forward-centrad direction of the dorsal setae, and by the well pronounced design of the dorsal shield. 
Specimens are found in galls through July on sugar maple in the Eastern United States and Canada. 
","10A, 10B","This mite was described in 1883 as Phytoptus acericola by Garman, who reported that it caused galls on maple in Illinois. It is a synonym of V. aceriscrumena. ","Amrine Catalog,An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America","upper leaf,between veins",no,,,
