Title,Record,Author,Year of publication,Hyperlink,Citation (MLA),Source Contents
Amrine Catalog,1,James Amrine,,,Private communication,"1,13,14,15,16,17,18,19,20,21,22,23,24,25,31,33,35,37,39,41,43,45"
New Species of Maple Mites,2,HE Hodgkiss,1913,https://academic.oup.com/jee/article-abstract/6/5/420/919472,"Hodgkiss, H. E. ""New species of maple mites."" Journal of Economic Entomology 6.5 (1913): 420-424.","2,3,4,5,6,7,8,9,10,11,12"
An Illustrated Guide to Plant Abnormalities Caused by Eriophyid Mites in North America,3,"Hartford Keifer,Edward Baker,Tokuwo Kono,Mercedes Delfinado,William Styer",1982,https://naldc.nal.usda.gov/download/CAT87208955/PDF,"Keifer, Hartford H. An Illustrated Guide to Plant Abnormalities Casued by Eriophyid Mites in North America. No. 573. US Department of Agriculture, 1982.","26,27,28,29,30,32,34,36,38,40,42,44"
New American Cynipid Wasps From Galls,4,LH Weld,1952,https://www.biodiversitylibrary.org/page/15672479#page/372/mode/1up,"Weld, Lewis H. ""New American cynipid wasps from galls."" Proceedings of the United States National Museum (1952).","46,72"
On The Cynipidous Galls of Florida,5,William Ashmead,1887,https://www.biodiversitylibrary.org/item/32293#page/135/mode/1up,"Ashmead, William H. ""On the cynipidous galls of Florida, with descriptions of new species and synopses of the described species of North America."" Transactions of the American Entomological Society and Proceedings of the Entomological Section of the Academy of Natural Sciences 14 (1887): 125-158.","47,65,89"
New Species of North American Cynipidae (1900),6,HF Bassett,1900,https://www.biodiversitylibrary.org/page/7522373#page/334/mode/1up,"Bassett, H. F. ""New species of North American Cynipidae."" Transactions of the American Entomological Society (1890-) 26.4 (1899): 310-336.","48,120"
Key to American Insect Galls,7,EP Felt,1917,https://www.biodiversitylibrary.org/page/8635512#page/5/mode/1up,"Felt, Ephraim Porter. Key to American insect galls. No. 200. University of the State of New York, 1917.","49,51,59,67,74,75,100,108,109,114,119,122,159,171"
Descriptions of new Cynipidae in the Collection of the Illinois State Laboratory of Natural History,8,CP Gillette,1891,https://www.biodiversitylibrary.org/page/8571764#page/197/mode/1up,"Gillette, Clarence Preston. ""Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History."" Illinois Natural History Survey Bulletin; v. 003, no. 11 (1891).",50
Field notes on gall-inhabiting cynipid wasps with descriptions of new species,9,LH Weld,1926,https://www.biodiversitylibrary.org/page/7610635#page/269/mode/1up,"Weld, Lewis H. ""Field notes on gall-inhabiting cynipid wasps with descriptions of new species."" Proceedings of the United States National Museum (1926).","52,60,78,81,84,94,95,96,97,160,180"
"Insect galls of Springfield, Massachusetts, and vicinity",10,FA Stebbins,1910,https://www.biodiversitylibrary.org/item/71437,"Stebbins, Fannie Adelle. Insect galls of Springfield, Massachusetts, and vicinity. No. 2. The Museum, 1910.","53,54,138,139"
Cynipid Galls of the Chicago Area,11,LH Weld,1928,https://www.biodiversitylibrary.org/page/57505981#page/174/mode/1up,"Weld, Lewis H. ""Cynipid galls of the Chicago area."" Trans. Ill. St. Acad. Sci. 20 (1928): 142-177.","55,56,79,80,111,134,135,136,137,157,161,163"
50 common plant galls of the Chicago area,12,Carl Gronemann,1930,https://www.biodiversitylibrary.org/item/25182#page/5/mode/1up,"Gronemann, Carl Fredrick. ""50 common plant galls of the Chicago area."" (1930).","57,76"
An illustrated catalogue of American insect galls,13,MT Thompson,1915,https://www.biodiversitylibrary.org/item/37925#page/5/mode/1up,"Thompson, Millett Taylor. An illustrated catalogue of American insect galls. Published and distributed by Rhode Island Hospital Trust Company, 1915.","58,70,170"
Cynipid galls of the eastern United States,14,LH Weld,1959,https://www.biodiversitylibrary.org/item/273718#page/7/mode/1up,"Weld, Lewis Hart. ""Cynipid galls of the eastern United States."" (1959).","61,62,63,64,66,83,102,103,104,105,112,154,153,156,165,172,174,176,182"
A Study of the Cynipidae,15,CP Gillette,1888,https://babel.hathitrust.org/cgi/pt?id=msu.31293101462541&view=1up&seq=502,"Gillette, C. P. ""Astudy OF THE OYNIPIDAE."" (1888).","68,69"
A contribution to the morphology and biology of insect galls ,16,A Cosens,1912,https://www.biodiversitylibrary.org/item/99818#page/3/mode/1up,"Cosens, A. ""A contribution to the morphology and biology of insect galls: University of Toronto studies: Biological series."" (1912).","71,142,143"
Key to shelterbelt insects in the northern great plains,17,"John Stein,Patrick Kennedy",1972,https://www.biodiversitylibrary.org/item/177444#page/3/mode/1up,"Stein, John D., and Patrick C. Kennedy. Key to shelterbelt insects in the northern Great Plains. Vol. 85. Rocky Mountain Forest and Range Experiment Station, Forest Service, US Department of Agriculture, 1972.",73
