Name,Record,Descriptions,Gallformer species
Aceria calaceris,1,22,Aceria calaceris
Aceria elongata,2,1,Aceria elongata
Aceria modesta,3,15,Aceria modesta
Eriophyes aceris,4,"21,28",Eriophyes aceris
Aceria major,5,14,Aceria major
Aculus minutissimus,6,19,Aculus minutissimus
Aculus quinquilobus,7,20,Aculus quinquilobus
Aceria negundi,8,16,Aceria negundi
Vasates quadripedes,9,"13,27",Vasates quadripedes
Vasates aceriscrumena,10,"23,29",Vasates aceriscrumena
Aceria myriadeum,11,24,Aceria myriadeum
Aceria spicati,12,17,Aceria spicati
Cecidophyes naulti,13,25,Cecidophyes naulti
Acericecis ocellaris,14,,Acericecis ocellaris
Dasineura communis,15,,Dasineura communis
Proteoteras willingana,16,,Proteoteras willingana
Contarinia negundinis,17,,Contarinia negundinis
Contarinia (undescribed),18,,Contarinia (undescribed)
Rhytisma acerinum,19,,Rhytisma acerinum
Rhytisma americanum,20,,Rhytisma americanum
Rhytisma punctatum,21,,Rhytisma punctatum
Xylotrechus aceris,22,,Xylotrechus aceris
Synanthedon acerni,23,,Synanthedon acerni
Proteoteras aesculana,24,,Proteoteras aesculana
Synanthedon acerrubri,25,,Synanthedon acerrubri
Cryptophyllaspis liquidambaris,26,,Cryptophyllaspis liquidambaris
Dasineura rileyana,27,,Dasineura rileyana
Dasineura aceris,28,,Dasineura aceris
Rhyncaphytoptus magnificus,29,18,Rhyncaphytoptus magnificus
Caryomyia tubicola,30,,Caryomyia tubicola
Aculops rhois,31,31,Aculops rhois
Eriophyes laevis,32,32,Eriophyes laevis
Aceria baccharipha,33,35,Aceria baccharipha
Aceria brachytarsa,34,"37,36",Aceria brachytarsa
Aceria caulis,35,39,Aceria caulis
Aceria aloinis,36,41,Aceria aloinis
Aceria sandorici,37,43,Aceria sandorici
Aceria fraxini,38,45,Aceria fraxini
Callirhytis furva,39,"46,61",Callirhytis furva
Callirhytis infuscata,40,"62,96",Callirhytis infuscata
Callirhytis piperoides,41,63,Callirhytis piperoides
Callirhytis lanata,42,"52,55,57,64",Callirhytis lanata
Neuroterus laurifoliae,43,"65,67",Neuroterus laurifoliae
Disholcaspis bassetti,44,"68,70,71,75,80,81",Disholcaspis bassetti
Disholcaspis quercusmamma,45,73,Disholcaspis quercusmamma
Andricus apiarium,46,,Andricus apiarium
Callirhytis tubicola,47,83,Callirhytis tubicola
Neuroterus saltarius,48,84,Neuroterus saltarius
Andricus pattoni,49,,Andricus pattoni
Andricus ignotus,50,,Andricus ignotus
Andricus quercusstrobilanus,51,,Andricus quercusstrobilanus
Aceria macrorhyncha,52,,Aceria myriadeum
Aceria ornata,53,,Aceria major
Aceria regula,54,,Aceria elongata
Aceria spicata,55,,Aceria spicati
Aculus confusus,56,,Vasates quadripedes
Andricus infuscatus,57,"47,49",Callirhytis infuscata
Andricus piperoides,58,"48,54,58,59",Callirhytis piperoides
Artacris cephaloneus,59,,Aceria myriadeum
Artacris macrorhynchus,60,,Aceria myriadeum
Bursifex alni,61,,Eriophyes laevis
Cecidomyia aceris,62,,Dasineura aceris
Cecidomyia negundinis,63,,Contarinia negundinis
Cecidomyia ocellaris,64,,Acericecis ocellaris
Contarinia negundifolia,65,,Contarinia negundinis
Cynips ignota,66,86,Andricus ignotus
Cynips mamma,67,,Disholcaspis quercusmamma
Cynips pattoni,68,85,Andricus pattoni
Cynips quercus strobilana,69,87,Andricus quercusstrobilanus
Cynips tubicola,70,82,Callirhytis tubicola
Dryocosmus piperoides,71,"56,60",Callirhytis piperoides
Dryophanta lanata,72,"50,51,53",Callirhytis lanata
Erineum roseum,73,,Aceria elongata
Eriophyes acericola,74,,Vasates aceriscrumena
Eriophyes baccharipha,75,34,Aceria baccharipha
Eriophyes calaceris,76,,Aceria calaceris
Eriophyes cephaloneus,77,,Aceria myriadeum
Eriophyes confusus,78,7,Vasates quadripedes
Eriophyes macrorhynchus,79,,Aceria myriadeum
Eriophyes major,80,3,Aceria major
Eriophyes minutissimus,81,,Aculus minutissimus
Eriophyes modestus,82,4,Aceria modesta
Eriophyes negundi,83,"5,26",Aceria negundi
Eriophyes ornatus,84,8,Aceria major
Eriophyes parallelus,85,6,Aceria spicati
Eriophyes quinquilobus,86,,Aculus quinquilobus
Eriophyes regulus,87,9,Aceria elongata
Eriophyes rhois,88,,Aculops rhois
Holcaspis bassetti,89,,Disholcaspis bassetti
Holcaspis duricoria,90,,Disholcaspis quercusmamma
Liodora apiarium,91,72,Andricus apiarium
Mayetiola virginiana,92,,Acericecis ocellaris
Phyllocoptes confusus,93,,Vasates quadripedes
Phyllocoptes magnificus,94,10,Rhyncaphytoptus magnificus
Phyllocoptes minutissimus,95,11,Aculus minutissimus
Phyllocoptes quinquilobus,96,12,Aculus quinquilobus
Phyllocoptes toxicophagus,97,,Aculops rhois
Phytoptus acericola,98,,Vasates aceriscrumena
Phytoptus laevis,99,33,Eriophyes laevis
Phytoptus macrorhynchus,100,,Aceria myriadeum
Rhabdophaga aceris,101,,Dasineura aceris
Rhabdophaga rileyana,102,,Dasineura rileyana
Sciara ocellata,103,,Acericecis ocellaris
Sesia acerni,104,,Synanthedon acerni
Vasates acericola,105,,Vasates aceriscrumena
Vasates confusus,106,,Vasates quadripedes
Eriophyes elongatus,107,2,Aceria elongata
Aculops toxicophagus,108,30,Aculops rhois
Eriophyes caulis,109,38,Aceria caulis
Eriophyes brachytarsus,110,36,Aceria brachytarsa
Eriophyes aloinis,111,40,Aceria aloinis
Eriophyes sandorici,112,42,Aceria sandorici
Eriophyes chondriphora,113,44,Aceria fraxini
(undescribed),114,66,Neuroterus laurifoliae
Holscaspis duricoria,115,69,Disholcaspis quercusmamma
Disholcaspis mamma,116,"74,79,78,77,76",Disholcaspis quercusmamma
(undescribed),117,88,Callirhytis vaccinii
Callirhytis vaccinii,118,,Callirhytis vaccinii
Acraspis vaccinii,119,89,Callirhytis vaccinii
Zopheroteras vaccinii,120,"90,101,103",Callirhytis vaccinii
Parateras hubbardi,121,91,Zopheroteras hubbardi
Andricus lustrans,122,92,Callirhytis vaccinii
Andricus impositus,123,93,Callirhytis vaccinii
Andricus dimorphus verifactor,124,98,Callirhytis vaccinii
,125,,
Dryocosmus deciduus,126,"94,111,112",Dryocosmus deciduus
Andricus robustus,127,"95,105",Andricus robustus
Callirhytis lustrans,128,"97,102",Callirhytis vaccinii
Cynips vacciniiformis,129,"99,100",Andricus robustus
Adleria vacciniiformis,130,104,Andricus robustus
Andricus vacciniiformis,131,,Andricus robustus
Andricus flavohirtus,132,106,Andricus flavohirtus
