"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","HEART'S-DELIGHT","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","VELVETLEAF","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACAM","","Acorus americanus (Raf.) Raf.","SWEETFLAG","Acoraceae"
"ACAM","ACCA10","Acorus calamus auct. non L.","","Acoraceae"
"ACAM","ACCAA2","Acorus calamus L. var. americanus (Raf.) H.D. Wulff.","","Acoraceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACCA32","","×Achnella caduca (Beal) Barkworth [Achnatherum hymenoides × Nassella viridula]","Mandan ricegrass","Poaceae"
"ACCA32","ORCA9","Oryzopsis caduca Beal","","Poaceae"
"ACCA32","STCA22","Stipa caduca (Beal) Scribn.","","Poaceae"
"ACCA32","STCA13","×Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler","","Poaceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACGI","","Acer ginnala Maxim.","AMUR MAPLE","Aceraceae"
"ACGI","ACTAG","Acer tataricum L. ssp. ginnala (Maxim.) Wesmael","","Aceraceae"
"ACHIL","","Achillea L.","yarrow","Asteraceae"
"ACHNA","","Achnatherum P. Beauv.","needlegrass","Poaceae"
"ACHNE","","×Achnella Barkworth","ricegrass","Poaceae"
"ACHY","","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS","Poaceae"
"ACHY","ERCU9","Eriocoma cuspidata Nutt.","","Poaceae"
"ACHY","ORHY","Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper","","Poaceae"
"ACHY","STHY6","Stipa hymenoides Roem. & Schult.","","Poaceae"
"ACMI2","","Achillea millefolium L.","COMMON YARROW","Asteraceae"
"ACMIO","","Achillea millefolium L. var. occidentalis DC.","COMMON YARROW","Asteraceae"
"ACMIO","ACAN7","Achillea angustissima Rydb.","","Asteraceae"
"ACMIO","ACAS2","Achillea aspleniifolia auct. non Vent.","","Asteraceae"
"ACMIO","ACER2","Achillea eradiata Piper","","Asteraceae"
"ACMIO","ACGR5","Achillea gracilis Raf.","","Asteraceae"
"ACMIO","ACLA5","Achillea lanulosa Nutt.","","Asteraceae"
"ACMIO","ACLAT","Achillea lanulosa Nutt. ssp. typica D.D. Keck","","Asteraceae"
"ACMIO","ACLAA3","Achillea lanulosa Nutt. var. arachnoidea Lunell","","Asteraceae"
"ACMIO","ACLAE","Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck","","Asteraceae"
"ACMIO","ACLA3","Achillea laxiflora Pollard & Cockerell","","Asteraceae"
"ACMIO","ACMIL","Achillea millefolium L. ssp. lanulosa (Nutt.) Piper","","Asteraceae"
"ACMIO","ACMIO2","Achillea millefolium L. ssp. occidentalis (DC.) Hyl.","","Asteraceae"
"ACMIO","ACMIP5","Achillea millefolium L. ssp. pallidotegula B. Boivin","","Asteraceae"
"ACMIO","ACMIA4","Achillea millefolium L. var. aspleniifolia (Vent.) Farw.","","Asteraceae"
"ACMIO","ACMIG2","Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.","","Asteraceae"
"ACMIO","ACMIL3","Achillea millefolium L. var. lanulosa (Nutt.) Piper","","Asteraceae"
"ACMIO","ACMIR","Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray","","Asteraceae"
"ACMIO","ACMIR2","Achillea millefolium L. var. russeolata B. Boivin","","Asteraceae"
"ACMIO","ACOC","Achillea occidentalis (DC.) Raf. ex Rydb.","","Asteraceae"
"ACMIO","ACRO4","Achillea rosea Desf.","","Asteraceae"
"ACMIO","ACTO3","Achillea tomentosa Pursh, non L.","","Asteraceae"
"ACNE2","","Acer negundo L.","BOXELDER","Aceraceae"
"ACNEI2","","Acer negundo L. var. interius (Britton) Sarg.","ASH-LEAF MAPLE","Aceraceae"
"ACNEI2","ACIN3","Acer interius Britton","","Aceraceae"
"ACNEI2","ACNEI","Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae"
"ACNEI2","NEACI","Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae"
"ACNEI2","NEIN3","Negundo interius (Britton) Rydb.","","Aceraceae"
"ACNEN","","Acer negundo L. var. negundo","ASH-LEAF MAPLE","Aceraceae"
"ACNEN","ACNEV2","Acer negundo L. var. variegatum Jacques","","Aceraceae"
"ACNEN","NEAC","Negundo aceroides (L.) Moench","","Aceraceae"
"ACNEN","NENE","Negundo negundo (L.) Karst., nom. inval.","","Aceraceae"
"ACNEV","","Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger","boxelder","Aceraceae"
"ACNEV","NEACV","Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber","","Aceraceae"
"ACORU","","Acorus L.","sweetflag","Acoraceae"
"ACRE3","","Acroptilon repens (L.) DC.","HARDHEADS","Asteraceae"
"ACRE3","CEPI3","Centaurea picris Pall. ex Willd.","","Asteraceae"
"ACRE3","CERE6","Centaurea repens L.","","Asteraceae"
"ACRH","","Acalypha rhomboidea Raf.","common threeseed mercury","Euphorbiaceae"
"ACRH","ACVIR","Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.","","Euphorbiaceae"
"ACROP","","Acroptilon Cass.","hardheads","Asteraceae"
"ACRU2","","Actaea rubra (Aiton) Willd.","RED BANEBERRY","Ranunculaceae"
"ACRUR2","","Actaea rubra (Aiton) Willd. ssp. rubra","red baneberry","Ranunculaceae"
"ACRUR2","ACRUR3","Actaea rubra (Aiton) Willd. var. rubra","","Ranunculaceae"
"ACRUR2","ACSPR3","Actaea spicata L. ssp. rubra (Aiton) Hultén","","Ranunculaceae"
"ACSA2","","Acer saccharinum L.","SILVER MAPLE","Aceraceae"
"ACSA2","ACDA2","Acer dasycarpum Ehrh.","","Aceraceae"
"ACSA2","ACSAL3","Acer saccharinum L. var. laciniatum Pax","","Aceraceae"
"ACSA2","ACSAW","Acer saccharinum L. var. wieri Rehder","","Aceraceae"
"ACSA2","ARSA9","Argentacer saccharinum (L.) Small","","Aceraceae"
"ACSA3","","Acer saccharum Marshall","SUGAR MAPLE","Aceraceae"
"ACSAS","","Acer saccharum Marshall var. saccharum","SUGAR MAPLE","Aceraceae"
"ACSAS","ACNIG","Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg","","Aceraceae"
"ACSAS","ACNIS2","Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen","","Aceraceae"
"ACSAS","ACSAG","Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.","","Aceraceae"
"ACSAS","ACSAR","Acer saccharum Marshall var. rugellii (Pax) Rehder","","Aceraceae"
"ACSAS","SASA18","Saccharodendron saccharum (Marshall) Moldenke","","Aceraceae"
"ACSI","","Achillea sibirica Ledeb.","SIBERIAN YARROW","Asteraceae"
"ACSI","ACMU3","Achillea multiflora Hook.","","Asteraceae"
"ACTAE","","Actaea L.","baneberry","Ranunculaceae"
"ADBI","","Adenocaulon bicolor Hook.","AMERICAN TRAILPLANT","Asteraceae"
"ADENO","","Adenocaulon Hook.","trailplant","Asteraceae"
"AECY","","Aegilops cylindrica Host","JOINTED GOAT GRASS","Poaceae"
