"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Pinaceae"
"ABCO","ABCOC","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","","Pinaceae"
"ABEL","","Abronia elliptica A. Nelson","fragrant white sandverbena","Nyctaginaceae"
"ABEL","ABFRE2","Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones","","Nyctaginaceae"
"ABEL","ABPU2","Abronia pumila Rydb.","","Nyctaginaceae"
"ABEL","ABRA","Abronia ramosa Standl.","","Nyctaginaceae"
"ABEL","ABSA3","Abronia salsa Rydb.","","Nyctaginaceae"
"ABIES","","Abies Mill.","fir","Pinaceae"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae"
"ABLAL","ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","","Pinaceae"
"ABLAL","ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","","Pinaceae"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae"
"ABLO","","Abies lowiana (Gordon & Glend.) A. Murray bis","California white fir","Pinaceae"
"ABLO","ABCOL","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon","","Pinaceae"
"ABMA","","Abies magnifica A. Murray bis","California red fir","Pinaceae"
"ABNA","","Abronia nana S. Watson","dwarf sandverbena","Nyctaginaceae"
"ABNAC","","Abronia nana S. Watson var. covillei (Heimerl) Munz","Coville's dwarf sandverbena","Nyctaginaceae"
"ABNAC","ABNAC2","Abronia nana S. Watson ssp. covillei (Heimerl) Munz","","Nyctaginaceae"
"ABNAN","","Abronia nana S. Watson var. nana","dwarf sandverbena","Nyctaginaceae"
"ABNAN","ABNAL","Abronia nana S. Watson var. lanciformis M.E. Jones","","Nyctaginaceae"
"ABPA3","","Abutilon parvulum A. Gray","dwarf abutilon","Malvaceae"
"ABPO","","Abronia pogonantha Heimerl","Mojave sand verbena","Nyctaginaceae"
"ABRON","","Abronia Juss.","sandverbena","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABTU","","Abronia turbinata Torr. ex S. Watson","transmontane sandverbena","Nyctaginaceae"
"ABTU","ABEX","Abronia exalata Standl.","","Nyctaginaceae"
"ABTU","ABOR2","Abronia orbiculata Standl.","","Nyctaginaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ABVI","","Abronia villosa S. Watson","desert sandverbena","Nyctaginaceae"
"ABVIV","","Abronia villosa S. Watson var. villosa","desert sandverbena","Nyctaginaceae"
"ACAMP","","Acamptopappus (A. Gray) A. Gray","goldenhead","Asteraceae"
"ACAR14","","Achnatherum aridum (M.E. Jones) Barkworth","arid needlegrass","Poaceae"
"ACAR14","STAR2","Stipa arida M.E. Jones","","Poaceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACBL","","Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]","Bloomer's ricegrass","Poaceae"
"ACBL","ORBL","Oryzopsis bloomeri (Bol.) Ricker","","Poaceae"
"ACBL","STBL4","Stipa bloomeri Bol.","","Poaceae"
"ACBL","STBL5","Stiporyzopsis bloomeri (Bol.) B.L. Johnson","","Poaceae"
"ACCO3","","Achyronychia cooperi Torr. & A. Gray","onyx flower","Caryophyllaceae"
"ACCO4","","Aconitum columbianum Nutt.","Columbian monkshood","Ranunculaceae"
"ACCOC3","","Aconitum columbianum Nutt. ssp. columbianum","Columbian monkshood","Ranunculaceae"
"ACCOC3","ACCOP","Aconitum columbianum Nutt. ssp. pallidum Piper","","Ranunculaceae"
"ACCOC3","ACCOB","Aconitum columbianum Nutt. var. bakeri (Greene) Harrington","","Ranunculaceae"
"ACCOC3","ACCOO","Aconitum columbianum Nutt. var. ochroleucum A. Nelson","","Ranunculaceae"
"ACCOC3","ACGE3","Aconitum geranioides Greene","","Ranunculaceae"
"ACCOC3","ACLE6","Aconitum leibergii Greene","","Ranunculaceae"
"ACCOC3","ACMO3","Aconitum mogollonicum Greene","","Ranunculaceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple","Aceraceae"
"ACGLD3","","Acer glabrum Torr. var. diffusum (Greene) Smiley","Rocky Mountain maple","Aceraceae"
"ACGLD3","ACDI","Acer diffusum Greene","","Aceraceae"
"ACGLD3","ACGLD","Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray","","Aceraceae"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas' maple","Aceraceae"
"ACGLD4","ACDO","Acer douglasii Hook.","","Aceraceae"
"ACGLD4","ACGLD2","Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael","","Aceraceae"
"ACGLG2","","Acer glabrum Torr. var. glabrum","Rocky Mountain maple","Aceraceae"
"ACGLG2","ACGLT3","Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax","","Aceraceae"
"ACGLG2","ACGLT4","Acer glabrum Torr. var. typicum (Wesmael) Keller","","Aceraceae"
"ACGLG2","ACTR3","Acer tripartitum Nutt. ex Torr. & A. Gray","","Aceraceae"
"ACGLT2","","Acer glabrum Torr. var. torreyi (Greene) Smiley","Torrey's maple","Aceraceae"
"ACGLT2","ACGLT","Acer glabrum Torr. ssp. torreyi (Greene) A.E. Murray","","Aceraceae"
"ACGLT2","ACTO2","Acer torreyi Greene","","Aceraceae"
"ACGR3","","Acer grandidentatum Nutt.","bigtooth maple","Aceraceae"
"ACGRG","","Acer grandidentatum Nutt. var. grandidentatum","bigtooth maple","Aceraceae"
"ACGRG","ACSAG2","Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais","","Aceraceae"
"ACGRG","ACSAG3","Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.","","Aceraceae"
"ACGRG","SAGR17","Saccharodendron grandidentatum (Nutt.) Nieuwl.","","Aceraceae"
"ACHIL","","Achillea L.","yarrow","Asteraceae"
"ACHNA","","Achnatherum P. Beauv.","needlegrass","Poaceae"
"ACHY","","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Indian ricegrass","Poaceae"
"ACHY","ERCU9","Eriocoma cuspidata Nutt.","","Poaceae"
"ACHY","ORHY","Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper","","Poaceae"
"ACHY","STHY6","Stipa hymenoides Roem. & Schult.","","Poaceae"
"ACHYR3","","Achyronychia Torr. & A. Gray","achyronychia","Caryophyllaceae"
"ACLE8","","Achnatherum lemmonii (Vasey) Barkworth","Lemmon's needlegrass","Poaceae"
"ACLE9","","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass","Poaceae"
"ACLE9","STLE4","Stipa lettermanii Vasey","","Poaceae"
"ACLEL","","Achnatherum lemmonii (Vasey) Barkworth var. lemmonii","Lemmon's needlegrass","Poaceae"
"ACLEL","ACLEL2","Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii","","Poaceae"
"ACLEL","STLE2","Stipa lemmonii (Vasey) Scribn.","","Poaceae"
"ACLEL","STLEJ","Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.","","Poaceae"
"ACLEL","STLEL","Stipa lemmonii (Vasey) Scribn. var. lemmonii","","Poaceae"
"ACMI2","","Achillea millefolium L.","common yarrow","Asteraceae"
"ACMIA","","Achillea millefolium L. var. alpicola (Rydb.) Garrett","common yarrow","Asteraceae"
"ACMIA","ACAL11","Achillea alpicola (Rydb.) Rydb.","","Asteraceae"
"ACMIA","ACFU","Achillea fusca Rydb.","","Asteraceae"
"ACMIA","ACLAA","Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck","","Asteraceae"
"ACMIA","ACLAA2","Achillea lanulosa Nutt. var. alpicola Rydb.","","Asteraceae"
"ACMIA","ACMIF","Achillea millefolium L. var. fusca (Rydb.) G.N. Jones","","Asteraceae"
"ACMIA","ACSU3","Achillea subalpina Greene","","Asteraceae"
"ACMIO","","Achillea millefolium L. var. occidentalis DC.","western yarrow","Asteraceae"
"ACMIO","ACAN7","Achillea angustissima Rydb.","","Asteraceae"
"ACMIO","ACAS2","Achillea aspleniifolia auct. non Vent.","","Asteraceae"
"ACMIO","ACER2","Achillea eradiata Piper","","Asteraceae"
"ACMIO","ACGR5","Achillea gracilis Raf.","","Asteraceae"
"ACMIO","ACLA5","Achillea lanulosa Nutt.","","Asteraceae"
"ACMIO","ACLAT","Achillea lanulosa Nutt. ssp. typica D.D. Keck","","Asteraceae"
"ACMIO","ACLAA3","Achillea lanulosa Nutt. var. arachnoidea Lunell","","Asteraceae"
"ACMIO","ACLAE","Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck","","Asteraceae"
"ACMIO","ACLA3","Achillea laxiflora Pollard & Cockerell","","Asteraceae"
"ACMIO","ACMIL","Achillea millefolium L. ssp. lanulosa (Nutt.) Piper","","Asteraceae"
"ACMIO","ACMIO2","Achillea millefolium L. ssp. occidentalis (DC.) Hyl.","","Asteraceae"
"ACMIO","ACMIP5","Achillea millefolium L. ssp. pallidotegula B. Boivin","","Asteraceae"
"ACMIO","ACMIA4","Achillea millefolium L. var. aspleniifolia (Vent.) Farw.","","Asteraceae"
"ACMIO","ACMIG2","Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.","","Asteraceae"
"ACMIO","ACMIL3","Achillea millefolium L. var. lanulosa (Nutt.) Piper","","Asteraceae"
"ACMIO","ACMIR","Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray","","Asteraceae"
"ACMIO","ACMIR2","Achillea millefolium L. var. russeolata B. Boivin","","Asteraceae"
"ACMIO","ACOC","Achillea occidentalis (DC.) Raf. ex Rydb.","","Asteraceae"
"ACMIO","ACRO4","Achillea rosea Desf.","","Asteraceae"
"ACMIO","ACTO3","Achillea tomentosa Pursh, non L.","","Asteraceae"
"ACNE10","","Achnatherum nevadense (B.L. Johnson) Barkworth","Nevada needlegrass","Poaceae"
"ACNE10","STNE4","Stipa nevadensis B.L. Johnson","","Poaceae"
"ACNE2","","Acer negundo L.","boxelder","Aceraceae"
"ACNE9","","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass","Poaceae"
"ACNED","","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Dore's needlegrass","Poaceae"
"ACNED","ACNED2","Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn","","Poaceae"
"ACNED","STCO3","Stipa columbiana Macoun, nom. utique rej.","","Poaceae"
"ACNED","STMI6","Stipa minor (Vasey) Scribn.","","Poaceae"
"ACNED","STNED","Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze","","Poaceae"
