"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABAB","","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indianmallow","Malvaceae"
"ABAB","ABAM5","Abutilon americanum (L.) Sweet","","Malvaceae"
"ABAB","ABJA","Abutilon jacquinii G. Don","","Malvaceae"
"ABAB","ABLI","Abutilon lignosum (Cav.) G. Don","","Malvaceae"
"ABAN","","Abronia angustifolia Greene","purple sand-verbena","Nyctaginaceae"
"ABAN","ABANA","Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles","","Nyctaginaceae"
"ABAN","ABTO","Abronia torreyi Standl.","","Nyctaginaceae"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Pinaceae"
"ABCO","ABCOC","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","","Pinaceae"
"ABEL","","Abronia elliptica A. Nelson","fragrant white sand-verbena","Nyctaginaceae"
"ABEL","ABFRE2","Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones","","Nyctaginaceae"
"ABEL","ABPU2","Abronia pumila Rydb.","","Nyctaginaceae"
"ABEL","ABRA","Abronia ramosa Standl.","","Nyctaginaceae"
"ABEL","ABSA3","Abronia salsa Rydb.","","Nyctaginaceae"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","snowball sand-verbena","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABIES","","Abies Mill.","Abies","Pinaceae"
"ABIN","","Abutilon incanum (Link) Sweet","orange Indianmallow","Malvaceae"
"ABIN","ABINI","Abutilon incanum (Link) Sweet ssp. incanum","","Malvaceae"
"ABIN","ABINP","Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe","","Malvaceae"
"ABIN","ABPR4","Abutilon pringlei Hochr.","","Malvaceae"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae"
"ABLAA","","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","corkbark fir","Pinaceae"
"ABLAA","ABAR2","Abies arizonica Merriam","","Pinaceae"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae"
"ABLAL","ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","","Pinaceae"
"ABLAL","ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","","Pinaceae"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae"
"ABMA3","","Abutilon malacum S. Watson","yellow Indianmallow","Malvaceae"
"ABMO2","","Abutilon mollicomum (Willd.) Sweet","Sonoran Indianmallow","Malvaceae"
"ABMO2","ABSO","Abutilon sonorae A. Gray","","Malvaceae"
"ABNA","","Abronia nana S. Watson","dwarf sand-verbena","Nyctaginaceae"
"ABNAN","","Abronia nana S. Watson var. nana","dwarf sand-verbena","Nyctaginaceae"
"ABNAN","ABNAL","Abronia nana S. Watson var. lanciformis M.E. Jones","","Nyctaginaceae"
"ABPA","","Abutilon palmeri A. Gray","Palmer Indianmallow","Malvaceae"
"ABPA2","","Abutilon parishii S. Watson","Parish Indianmallow","Malvaceae"
"ABPA3","","Abutilon parvulum A. Gray","dwarf Indianmallow","Malvaceae"
"ABRE","","Abutilon reventum S. Watson","yellowflower Indianmallow","Malvaceae"
"ABRON","","Abronia Juss.","Abronia","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf Indianmallow","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABTH2","","Abutilon thurberi A. Gray","Thurber Indianmallow","Malvaceae"
"ABUTI","","Abutilon Mill.","Abutilon","Malvaceae"
"ABVI","","Abronia villosa S. Watson","desert sand-verbena","Nyctaginaceae"
"ABVIA","","Abronia villosa S. Watson var. aurita (Abrams) Jeps.","desert sand verbena","Nyctaginaceae"
"ABVIA","ABPI2","Abronia pinetorum Abrams","","Nyctaginaceae"
"ABVIV","","Abronia villosa S. Watson var. villosa","desert sand-verbena","Nyctaginaceae"
"ACACI","","Acacia Mill.","Acacia","Fabaceae"
"ACACI2","","Acaciella Britton & Rose","","Fabaceae"
"ACALY","","Acalypha L.","Acalypha","Euphorbiaceae"
"ACAMP","","Acamptopappus (A. Gray) A. Gray","Acamptopappus","Asteraceae"
"ACAN11","","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Fabaceae"
"ACAN11","ACAN","Acacia angustissima (Mill.) Kuntze","","Fabaceae"
"ACANH2","","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia","Fabaceae"
"ACANH2","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson","","Fabaceae"
"ACANH2","ACANH","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","","Fabaceae"
"ACANH2","ACANT4","Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely","","Fabaceae"
"ACANH2","ACCU","Acacia cuspidata Schltdl.","","Fabaceae"
"ACANH2","ACHI3","Acacia hirta Nutt.","","Fabaceae"
"ACANH2","ACTE2","Acacia texensis Torr. & A. Gray","","Fabaceae"
"ACANH2","ACANT5","Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico","","Fabaceae"
"ACANH2","ACHI4","Acaciella hirta (Nutt.) Britton & Rose","","Fabaceae"
