
"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABELI","","Abelia R. Br.","abelia","Caprifoliaceae"
"ABELM","","Abelmoschus Medik.","okra","Malvaceae"
"ABES","","Abelmoschus esculentus (L.) Moench","okra","Malvaceae"
"ABES","HIES","Hibiscus esculentus L.","","Malvaceae"
"ABGR4","","Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora]","glossy abelia","Caprifoliaceae"
"ABHI","","Abutilon hirtum (Lam.) Sweet","Florida Keys Indian mallow","Malvaceae"
"ABHU","","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve","Malvaceae"
"ABHU","ABCO2","Abutilon commutatum auct. non K. Schum.","","Malvaceae"
"ABHU","ABPA4","Abutilon pauciflorum Sweet","","Malvaceae"
"ABILD","","Abildgaardia Vahl","sedge","Cyperaceae"
"ABOV","","Abildgaardia ovata (Burm. f.) Kral","flatspike sedge","Cyperaceae"
"ABOV","ABMO4","Abildgaardia monostachya (L.) Vahl","","Cyperaceae"
"ABOV","CYMO10","Cyperus monostachyos L.","","Cyperaceae"
"ABOV","FIMO2","Fimbristylis monostachya (L.) Hassk.","","Cyperaceae"
"ABOV","FIOV","Fimbristylis ovata (Burm. f.) J. Kern","","Cyperaceae"
"ABPE","","Abutilon permolle (Willd.) Sweet","coastal Indian mallow","Malvaceae"
"ABPR3","","Abrus precatorius L.","rosarypea","Fabaceae"
"ABPR3","ABAB2","Abrus abrus (L.) W. Wight, nom. inval.","","Fabaceae"
"ABRUS","","Abrus Adans.","abrus","Fabaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACACI","","Acacia Mill.","acacia","Fabaceae"
"ACACI2","","Acaciella Britton & Rose","","Fabaceae"
"ACAL2","","Acalypha alopecuroidea Jacq.","foxtail copperleaf","Euphorbiaceae"
"ACAL2","ACAR17","Acalypha aristata Kunth","","Euphorbiaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACAN11","","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Fabaceae"
"ACAN11","ACAN","Acacia angustissima (Mill.) Kuntze","","Fabaceae"
"ACANH2","","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia","Fabaceae"
"ACANH2","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson","","Fabaceae"
"ACANH2","ACANH","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","","Fabaceae"
"ACANH2","ACANT4","Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely","","Fabaceae"
"ACANH2","ACCU","Acacia cuspidata Schltdl.","","Fabaceae"
"ACANH2","ACHI3","Acacia hirta Nutt.","","Fabaceae"
"ACANH2","ACTE2","Acacia texensis Torr. & A. Gray","","Fabaceae"
"ACANH2","ACANT5","Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico","","Fabaceae"
"ACANH2","ACHI4","Acaciella hirta (Nutt.) Britton & Rose","","Fabaceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACANT6","","Acanthocereus (Engelm. ex A. Berger) Britton & Rose","triangle cactus","Cactaceae"
"ACAR16","","Acalypha arvensis Poepp.","field copperleaf","Euphorbiaceae"
"ACAR16","ACAR19","Acalypha aristata auct. non Kunth","","Euphorbiaceae"
"ACAS","","Achyranthes aspera L.","devil's horsewhip","Amaranthaceae"
"ACAS","ACCA37","Achyranthes canescens R. Br.","","Amaranthaceae"
"ACASA","","Achyranthes aspera L. var. aspera","devil's horsewhip","Amaranthaceae"
"ACASA","ACIN4","Achyranthes indica (L.) Mill.","","Amaranthaceae"
"ACASA","CEAS3","Centrostachys aspera (L.) Standl.","","Amaranthaceae"
