
"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABFR","","Abies fraseri (Pursh) Poir.","Fraser fir","Pinaceae"
"ABFR","PIFR","Pinus fraseri Pursh","","Pinaceae"
"ABIES","","Abies Mill.","fir","Pinaceae"
"ABPR3","","Abrus precatorius L.","rosarypea","Fabaceae"
"ABPR3","ABAB2","Abrus abrus (L.) W. Wight, nom. inval.","","Fabaceae"
"ABRUS","","Abrus Adans.","abrus","Fabaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACAU2","","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starbur","Asteraceae"
"ACAU2","ACXA","Acanthospermum xanthioides DC.","","Asteraceae"
"ACAU2","MEAU","Melampodium australe Loefl.","","Asteraceae"
"ACCA4","","Acorus calamus L.","calamus","Acoraceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACFL","","Acer floridanum (Chapm.) Pax","southern sugar maple","Aceraceae"
"ACFL","ACBA3","Acer barbatum Michx. p.p.","","Aceraceae"
"ACFL","ACBAL","Acer barbatum Michx. var. longii (Fernald) Fernald","","Aceraceae"
"ACFL","ACBAV","Acer barbatum Michx. var. villipes (Rehder) Ashe","","Aceraceae"
"ACFL","ACFLL","Acer floridanum (Chapm.) Pax var. longii Fernald","","Aceraceae"
"ACFL","ACFLV","Acer floridanum (Chapm.) Pax var. villipes Rehder","","Aceraceae"
"ACFL","ACNIF","Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg","","Aceraceae"
"ACFL","ACSAF2","Acer saccharinum L. var. floridanum Chapm.","","Aceraceae"
