"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","snowball sand verbena","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACACI2","","Acaciella Britton & Rose","","Fabaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACAN11","","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Fabaceae"
"ACAN11","ACAN","Acacia angustissima (Mill.) Kuntze","","Fabaceae"
"ACANH2","","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia","Fabaceae"
"ACANH2","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson","","Fabaceae"
"ACANH2","ACANH","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","","Fabaceae"
"ACANH2","ACANT4","Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely","","Fabaceae"
"ACANH2","ACCU","Acacia cuspidata Schltdl.","","Fabaceae"
"ACANH2","ACHI3","Acacia hirta Nutt.","","Fabaceae"
"ACANH2","ACTE2","Acacia texensis Torr. & A. Gray","","Fabaceae"
"ACANH2","ACANT5","Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico","","Fabaceae"
"ACANH2","ACHI4","Acaciella hirta (Nutt.) Britton & Rose","","Fabaceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACCA4","","Acorus calamus L.","calamus","Acoraceae"
"ACDE4","","Acalypha deamii (Weath.) H.E. Ahles","Deam's threeseed mercury","Euphorbiaceae"
"ACDE4","ACRHD","Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.","","Euphorbiaceae"
"ACDE4","ACVID","Acalypha virginica L. var. deamii Weath.","","Euphorbiaceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACHIL","","Achillea L.","yarrow","Asteraceae"
"ACHNA","","Achnatherum P. Beauv.","needlegrass","Poaceae"
"ACHY","","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Indian ricegrass","Poaceae"
"ACHY","ERCU9","Eriocoma cuspidata Nutt.","","Poaceae"
"ACHY","ORHY","Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper","","Poaceae"
"ACHY","STHY6","Stipa hymenoides Roem. & Schult.","","Poaceae"
"ACMI2","","Achillea millefolium L.","common yarrow","Asteraceae"
"ACMIM2","","Achillea millefolium L. var. millefolium","common yarrow","Asteraceae"
"ACMIM2","ACMA14","Achillea magna auct.","","Asteraceae"
"ACMIO","","Achillea millefolium L. var. occidentalis DC.","western yarrow","Asteraceae"
"ACMIO","ACAN7","Achillea angustissima Rydb.","","Asteraceae"
"ACMIO","ACAS2","Achillea aspleniifolia auct. non Vent.","","Asteraceae"
"ACMIO","ACER2","Achillea eradiata Piper","","Asteraceae"
"ACMIO","ACGR5","Achillea gracilis Raf.","","Asteraceae"
"ACMIO","ACLA5","Achillea lanulosa Nutt.","","Asteraceae"
"ACMIO","ACLAT","Achillea lanulosa Nutt. ssp. typica D.D. Keck","","Asteraceae"
"ACMIO","ACLAA3","Achillea lanulosa Nutt. var. arachnoidea Lunell","","Asteraceae"
"ACMIO","ACLAE","Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck","","Asteraceae"
"ACMIO","ACLA3","Achillea laxiflora Pollard & Cockerell","","Asteraceae"
"ACMIO","ACMIL","Achillea millefolium L. ssp. lanulosa (Nutt.) Piper","","Asteraceae"
"ACMIO","ACMIO2","Achillea millefolium L. ssp. occidentalis (DC.) Hyl.","","Asteraceae"
"ACMIO","ACMIP5","Achillea millefolium L. ssp. pallidotegula B. Boivin","","Asteraceae"
"ACMIO","ACMIA4","Achillea millefolium L. var. aspleniifolia (Vent.) Farw.","","Asteraceae"
