"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","SNOWBALL SANDVERBENA","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABFR3","","Abutilon fruticosum Guill. & Perr.","Texas Indian mallow","Malvaceae"
"ABFR3","ABTE","Abutilon texense Torr. & A. Gray","","Malvaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACACI2","","Acaciella Britton & Rose","","Fabaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACAN11","","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Fabaceae"
"ACAN11","ACAN","Acacia angustissima (Mill.) Kuntze","","Fabaceae"
"ACANH2","","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia","Fabaceae"
"ACANH2","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson","","Fabaceae"
"ACANH2","ACANH","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","","Fabaceae"
"ACANH2","ACANT4","Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely","","Fabaceae"
"ACANH2","ACCU","Acacia cuspidata Schltdl.","","Fabaceae"
"ACANH2","ACHI3","Acacia hirta Nutt.","","Fabaceae"
"ACANH2","ACTE2","Acacia texensis Torr. & A. Gray","","Fabaceae"
"ACANH2","ACANT5","Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico","","Fabaceae"
"ACANH2","ACHI4","Acaciella hirta (Nutt.) Britton & Rose","","Fabaceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACCA4","","Acorus calamus L.","SWEETFLAG","Acoraceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACFL","","Acer floridanum (Chapm.) Pax","southern sugar maple","Aceraceae"
"ACFL","ACBA3","Acer barbatum Michx. p.p.","","Aceraceae"
"ACFL","ACBAL","Acer barbatum Michx. var. longii (Fernald) Fernald","","Aceraceae"
"ACFL","ACBAV","Acer barbatum Michx. var. villipes (Rehder) Ashe","","Aceraceae"
"ACFL","ACFLL","Acer floridanum (Chapm.) Pax var. longii Fernald","","Aceraceae"
"ACFL","ACFLV","Acer floridanum (Chapm.) Pax var. villipes Rehder","","Aceraceae"
"ACFL","ACNIF","Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg","","Aceraceae"
"ACFL","ACSAF2","Acer saccharinum L. var. floridanum Chapm.","","Aceraceae"
"ACFL","ACSAF","Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais","","Aceraceae"
"ACFL","ACSAF3","Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller","","Aceraceae"
"ACFL","SABA13","Saccharodendron barbatum (Michx.) Nieuwl.","","Aceraceae"
"ACFL","SAFL8","Saccharodendron floridanum (Chapm.) Nieuwl.","","Aceraceae"
"ACGR2","","Acalypha gracilens A. Gray","SLENDER COPPERLEAF","Euphorbiaceae"
"ACGR2","ACGRD","Acalypha gracilens A. Gray var. delzii L. Mill.","","Euphorbiaceae"
"ACGR2","ACGRF","Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.","","Euphorbiaceae"
"ACGR2","ACVIG","Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.","","Euphorbiaceae"
"ACHIL","","Achillea L.","yarrow","Asteraceae"
"ACHNA","","Achnatherum P. Beauv.","needlegrass","Poaceae"
"ACHY","","Achnatherum hymenoides (Roem. & Schult.) Barkworth","INDIAN RICEGRASS","Poaceae"
"ACHY","ERCU9","Eriocoma cuspidata Nutt.","","Poaceae"
"ACHY","ORHY","Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper","","Poaceae"
"ACHY","STHY6","Stipa hymenoides Roem. & Schult.","","Poaceae"
