"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABAM","","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir","Pinaceae"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Pinaceae"
"ABCO","ABCOC","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","","Pinaceae"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Pinaceae"
"ABGR","ABGRI2","Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba","","Pinaceae"
"ABGR","ABGRG","Abies grandis (Douglas ex D. Don) Lindl. var. grandis","","Pinaceae"
"ABGR","ABGRI","Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba","","Pinaceae"
"ABGR","ABGRJ","Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews","","Pinaceae"
"ABIES","","Abies Mill.","fir","Pinaceae"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae"
"ABLA2","","Abronia latifolia Eschsch.","coastal sand verbena","Nyctaginaceae"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae"
"ABLAL","ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","","Pinaceae"
"ABLAL","ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","","Pinaceae"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae"
"ABLO","","Abies lowiana (Gordon & Glend.) A. Murray bis","Sierra white fir","Pinaceae"
"ABLO","ABCOL","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon","","Pinaceae"
"ABMA","","Abies magnifica A. Murray bis","California red fir","Pinaceae"
"ABMAM","","Abies magnifica A. Murray bis var. magnifica","California red fir","Pinaceae"
"ABMAS","","Abies magnifica A. Murray bis var. shastensis Lemmon","Shasta red fir","Pinaceae"
"ABMAS","ABMAS2","Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba","","Pinaceae"
"ABMAS","ABMAC","Abies magnifica A. Murray bis var. critchfieldii Lanner","","Pinaceae"
"ABMAS","ABSH","Abies ×shastensis (Lemmon) Lemmon","","Pinaceae"
"ABME","","Abronia mellifera Douglas ex Hook.","white sand verbena","Nyctaginaceae"
"ABPR","","Abies procera Rehder","noble fir","Pinaceae"
"ABPR","ABNO","Abies nobilis (Douglas ex D. Don) Lindl.","","Pinaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABTU","","Abronia turbinata Torr. ex S. Watson","transmontane sand verbena","Nyctaginaceae"
"ABTU","ABEX","Abronia exalata Standl.","","Nyctaginaceae"
"ABTU","ABOR2","Abronia orbiculata Standl.","","Nyctaginaceae"
"ABUM","","Abronia umbellata Lam.","pink sand verbena","Nyctaginaceae"
"ABUMB","","Abronia umbellata Lam. ssp. breviflora (Standl.) Munz","pink sand verbena","Nyctaginaceae"
"ABUMB","ABAC","Abronia acutalata Standl.","","Nyctaginaceae"
"ABUMB","ABBR2","Abronia breviflora Standl.","","Nyctaginaceae"
"ABUMB","ABUMA2","Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett","","Nyctaginaceae"
"ABUMB","ABUMA3","Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.","","Nyctaginaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACACI","","Acacia Mill.","acacia","Fabaceae"
"ACAEN","","Acaena Mutis ex L.","acaena","Rosaceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACAU2","","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starbur","Asteraceae"
"ACAU2","ACXA","Acanthospermum xanthioides DC.","","Asteraceae"
"ACAU2","MEAU","Melampodium australe Loefl.","","Asteraceae"
"ACBL","","Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]","","Poaceae"
"ACBL","ORBL","Oryzopsis bloomeri (Bol.) Ricker","","Poaceae"
"ACBL","STBL4","Stipa bloomeri Bol.","","Poaceae"
"ACBL","STBL5","Stiporyzopsis bloomeri (Bol.) B.L. Johnson","","Poaceae"
"ACBR5","","Achnatherum brachychaetum (Godr.) Barkworth","shortbristled needlegrass","Poaceae"
"ACBR5","NABR2","Nassella brachychaeta (Godr.) Barkworth","","Poaceae"
"ACBR5","STBR3","Stipa brachychaeta Godr.","","Poaceae"
"ACCA31","","Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett","Chilean ricegrass","Poaceae"
"ACCA31","STLI4","Stipa littoralis Phil.","","Poaceae"
"ACCA4","","Acorus calamus L.","calamus","Acoraceae"
"ACCA6","","Achlys californica I. Fukuda & H.G. Baker","deer's foot","Berberidaceae"
"ACCI","","Acer circinatum Pursh","vine maple","Aceraceae"
"ACCO4","","Aconitum columbianum Nutt.","Columbian monkshood","Ranunculaceae"
"ACCOC3","","Aconitum columbianum Nutt. ssp. columbianum","Columbian monkshood","Ranunculaceae"
"ACCOC3","ACCOP","Aconitum columbianum Nutt. ssp. pallidum Piper","","Ranunculaceae"
"ACCOC3","ACCOB","Aconitum columbianum Nutt. var. bakeri (Greene) Harrington","","Ranunculaceae"
"ACCOC3","ACCOO","Aconitum columbianum Nutt. var. ochroleucum A. Nelson","","Ranunculaceae"
"ACCOC3","ACGE3","Aconitum geranioides Greene","","Ranunculaceae"
"ACCOC3","ACLE6","Aconitum leibergii Greene","","Ranunculaceae"
"ACCOC3","ACMO3","Aconitum mogollonicum Greene","","Ranunculaceae"
"ACCOV2","","Aconitum columbianum Nutt. ssp. viviparum (Greene) D.E. Brink","Columbian monkshood","Ranunculaceae"
"ACCOV2","ACBU","Aconitum bulbiferum Howell","","Ranunculaceae"
"ACCOV2","ACCOH","Aconitum columbianum Nutt. var. howellii (A. Nelson & J.F. Macbr.) C.L. Hitchc.","","Ranunculaceae"
"ACCOV2","ACHA2","Aconitum hansenii Greene","","Ranunculaceae"
"ACCOV2","ACHO","Aconitum howellii A. Nelson & J.F. Macbr.","","Ranunculaceae"
"ACCOV2","ACVI5","Aconitum viviparum Greene","","Ranunculaceae"
"ACDE3","","Acacia dealbata Link","silver wattle","Fabaceae"
"ACDE3","ACDED","Acacia decurrens (Wendl. f.) Willd. var. dealbata (Link) F. Muell.","","Fabaceae"
"ACEL4","","Actaea elata (Nutt.) Prantl","tall bugbane","Ranunculaceae"
"ACEL4","CIEL","Cimicifuga elata Nutt.","","Ranunculaceae"
"ACER","","Acer L.","maple","Aceraceae"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple","Aceraceae"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple","Aceraceae"
"ACGLD4","ACDO","Acer douglasii Hook.","","Aceraceae"
