"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABAB","","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indian mallow","Malvaceae"
"ABAB","ABAM5","Abutilon americanum (L.) Sweet","","Malvaceae"
"ABAB","ABJA","Abutilon jacquinii G. Don","","Malvaceae"
"ABAB","ABLI","Abutilon lignosum (Cav.) G. Don","","Malvaceae"
"ABAM2","","Abronia ameliae Lundell","amelia sandverbena","Nyctaginaceae"
"ABAN","","Abronia angustifolia Greene","purple sandverbena","Nyctaginaceae"
"ABAN","ABANA","Abronia angustifolia Greene var. arizonica (Standl.) Kearney & Peebles","","Nyctaginaceae"
"ABAN","ABTO","Abronia torreyi Standl.","","Nyctaginaceae"
"ABBE","","Abutilon berlandieri A. Gray ex S. Watson","Berlandier's Indian mallow","Malvaceae"
"ABBE","ABCA2","Abutilon californicum auct. non Benth.","","Malvaceae"
"ABCA","","Abronia carletonii J.M. Coult. & Fisher","Carleton's sand verbena","Nyctaginaceae"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","sweet sandverbena","Nyctaginaceae"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae"
"ABFR3","","Abutilon fruticosum Guill. & Perr.","Texas Indian mallow","Malvaceae"
"ABFR3","ABTE","Abutilon texense Torr. & A. Gray","","Malvaceae"
"ABHU","","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve","Malvaceae"
"ABHU","ABCO2","Abutilon commutatum auct. non K. Schum.","","Malvaceae"
"ABHU","ABPA4","Abutilon pauciflorum Sweet","","Malvaceae"
"ABHY","","Abutilon hypoleucum A. Gray","whiteleaf Indian mallow","Malvaceae"
"ABMA3","","Abutilon malacum S. Watson","yellow Indian mallow","Malvaceae"
"ABMA5","","Abronia macrocarpa L.A. Galloway","largefruited sandverbena","Nyctaginaceae"
"ABMO2","","Abutilon mollicomum (Willd.) Sweet","Sonoran Indian mallow","Malvaceae"
"ABMO2","ABSO","Abutilon sonorae A. Gray","","Malvaceae"
"ABPA3","","Abutilon parvulum A. Gray","dwarf Indian mallow","Malvaceae"
"ABRON","","Abronia Juss.","sand verbena","Nyctaginaceae"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae"
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae"
"ABTR","","Abutilon trisulcatum (Jacq.) Urb.","anglestem Indian mallow","Malvaceae"
"ABTR","ABTR2","Abutilon triquetrum (L.) Sweet","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ABWR","","Abutilon wrightii A. Gray","wright abutilon","Malvaceae"
"ACAC","","Acleisanthes acutifolia Standl.","needletip trumpets","Nyctaginaceae"
"ACACI2","","Acaciella Britton & Rose","","Fabaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACAN11","","Acaciella angustissima (Mill.) Britton & Rose","prairie acacia","Fabaceae"
"ACAN11","ACAN","Acacia angustissima (Mill.) Kuntze","","Fabaceae"
"ACAN2","","Acleisanthes anisophylla A. Gray","obliqueleaf trumpets","Nyctaginaceae"
"ACANC3","","Acaciella angustissima (Mill.) Britton & Rose var. chisosiana (Isely) B.L. Turner","Chisos prairie acacia","Fabaceae"
"ACANC3","ACANC","Acacia angustissima (Mill.) Kuntze var. chisosiana Isely","","Fabaceae"
"ACANH2","","Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner","prairie acacia","Fabaceae"
"ACANH2","ACANC2","Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson","","Fabaceae"
"ACANH2","ACANH","Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.","","Fabaceae"
"ACANH2","ACANT4","Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely","","Fabaceae"
"ACANH2","ACCU","Acacia cuspidata Schltdl.","","Fabaceae"
"ACANH2","ACHI3","Acacia hirta Nutt.","","Fabaceae"
"ACANH2","ACTE2","Acacia texensis Torr. & A. Gray","","Fabaceae"
"ACANH2","ACANT5","Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico","","Fabaceae"
"ACANH2","ACHI4","Acaciella hirta (Nutt.) Britton & Rose","","Fabaceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACANT6","","Acanthocereus (Engelm. ex A. Berger) Britton & Rose","triangle cactus","Cactaceae"
"ACAR14","","Achnatherum aridum (M.E. Jones) Barkworth","Achnatherum aridum","Poaceae"
"ACAR14","STAR2","Stipa arida M.E. Jones","","Poaceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACAS","","Achyranthes aspera L.","devil's horsewhip","Amaranthaceae"
"ACAS","ACCA37","Achyranthes canescens R. Br.","","Amaranthaceae"
"ACASP","","Achyranthes aspera L. var. pubescens (Moq.) Townsend","devil's horsewhip","Amaranthaceae"
"ACAU2","","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starbur","Asteraceae"
"ACAU2","ACXA","Acanthospermum xanthioides DC.","","Asteraceae"
"ACAU2","MEAU","Melampodium australe Loefl.","","Asteraceae"
"ACCA4","","Acorus calamus L.","calamus","Acoraceae"
"ACCL7","","Achnatherum clandestinum (Hack.) Barkworth","Mexican ricegrass","Poaceae"
"ACCL7","STCL5","Stipa clandestina Hack.","","Poaceae"
"ACCR","","Acleisanthes crassifolia A. Gray","Texas trumpets","Nyctaginaceae"
"ACCU6","","Achnatherum curvifolium (Swallen) Barkworth","Guadalupe ricegrass","Poaceae"
"ACCU6","STCU2","Stipa curvifolia Swallen","","Poaceae"
"ACEM4","","Achnatherum eminens (Cav.) Barkworth","southwestern needlegrass","Poaceae"
"ACEM4","STEM2","Stipa eminens Cav.","","Poaceae"
"ACER","","Acer L.","maple","Aceraceae"
